,long,lat,OBJECTID,ID_Map,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,513000.10316214926,6895110.340297905,1,D_7,119.0,18.0,-21.138429641723633,-31.455888748168945,-31.249146461486816,-20.234644412994385,1.1254535913467407,0.3201378285884857,0.2935810685157776
1,513856.5331952997,6894042.472622206,2,D_8,121.0,6.0,-17.603861093521118,-30.595924854278564,-30.555856227874756,-17.555259466171265,1.046741008758545,0.2323375940322876,0.22522635757923126
2,513927.34525306226,6892895.962804926,3,D_9,130.0,5.0,-15.771725177764893,-29.28523540496826,-29.752871990203857,-16.119234561920166,0.9681341052055359,0.21331028640270233,0.20886066555976868
3,514552.9127894939,6892153.525395634,4,D_10,128.0,14.0,-17.010633945465088,-32.05878257751465,-31.278433799743652,-17.061320543289185,1.0210191011428833,0.18012242019176483,0.19345083832740784
4,515708.450554359,6891619.508044934,5,D_2,128.0,3.0,-16.266859769821167,-30.727670192718506,-30.52943706512451,-16.52080774307251,0.9740105271339417,0.19117330014705658,0.1985773891210556
5,517164.2247534725,6890956.265053917,6,D_18,128.0,6.0,-19.468036890029907,-30.10051727294922,-31.193618774414062,-18.847899436950684,1.072303056716919,0.29457369446754456,0.24260902404785156
6,517021.441026973,6890092.377343916,7,D_11,129.0,3.0,-17.118176221847534,-30.35661220550537,-29.04959201812744,-17.690391540527344,0.9377772808074951,0.21861357986927032,0.263204425573349
7,518181.4276167891,6888975.12000497,8,D_12,130.0,1.0,-18.91425132751465,-28.746378421783447,-30.70298433303833,-17.686907052993774,1.1918377876281738,0.3487281799316406,0.23464927077293396
8,513999.4306711281,6896020.618872343,9,D_6,115.0,39.0,-20.84397792816162,-31.315929889678955,-31.62947177886963,-20.121448040008545,1.1061162948608398,0.3066018223762512,0.27334704995155334
9,515000.8708094718,6895036.759796119,10,D_5,108.0,38.0,-18.887364864349365,-31.07494592666626,-31.455659866333008,-18.796939849853516,1.0251784324645996,0.26555517315864563,0.24293729662895203
10,515030.9835597045,6894026.66997705,11,D_4,115.0,22.0,-17.868826389312744,-31.953413486480713,-31.530818939208984,-18.642030954360962,0.9112516045570374,0.1991371512413025,0.2326921969652176
11,516123.05140192097,6893055.801013718,12,D_3,108.0,21.0,-17.988747358322144,-30.86841106414795,-31.495883464813232,-18.69896650314331,0.9358010292053223,0.2321004718542099,0.23249158263206482
12,515838.39228634845,6891056.958365591,13,D_1,130.0,4.0,-16.253830194473267,-31.33235216140747,-29.456005096435547,-15.501195192337036,1.0867557525634766,0.17665816843509674,0.20384427905082703
14,517937.2540658817,6890115.160537499,15,D_15,123.0,7.0,-18.510806560516357,-30.743045806884766,-30.771963596343994,-18.93033504486084,0.981589674949646,0.24647465348243713,0.2513657510280609
15,518236.7140700801,6889746.897920066,16,D_14,127.0,11.0,-19.90216851234436,-30.53746461868286,-29.913265705108643,-19.472452402114868,1.0569827556610107,0.2965180277824402,0.30174365639686584
16,519345.9730869707,6888462.322794749,17,D_13,113.0,16.0,-19.954441785812378,-31.531178951263428,-30.41736364364624,-18.82610559463501,1.1576250791549683,0.26645973324775696,0.26254963874816895
17,512796.59980047744,6895801.048869076,18,D_Core_3,108.0,19.0,-18.428053855895996,-29.07539129257202,-28.615965843200684,-17.54352331161499,1.1368674039840698,0.3055340051651001,0.28410178422927856
18,513739.1073983081,6894886.778916758,19,D_Core_2,113.0,38.0,-19.583455324172974,-30.780518054962158,-31.162660121917725,-19.613043069839478,0.9978700280189514,0.2894393503665924,0.2840629816055298
19,514921.5061513049,6892865.564638135,20,D_Core_1,122.0,20.0,-17.959564924240112,-30.901076793670654,-31.210181713104248,-18.12126636505127,0.9750961065292358,0.22693152725696564,0.2243334949016571
