,long,lat,OBJECTID,Snow_thick,Ice_thick,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,512746.00339999975,6897234.308699999,1.0,10.0,131.0,-17.612383365631104,-31.95429801940918,-31.769235134124756,-19.03670310974121,0.8414244055747986,0.1939048171043396,0.23501592874526978
1,512268.9423000004,6896338.065200001,2.0,8.0,136.0,-20.153977870941162,-32.227914333343506,-31.949126720428467,-19.538025856018066,1.0841877460479736,0.25437119603157043,0.24392575025558472
2,512841.70119999984,6895601.693700001,3.0,5.0,131.0,-18.846677541732788,-29.851391315460205,-30.948894023895264,-17.9367196559906,1.1272255182266235,0.29495346546173096,0.23060382902622223
3,513756.87009999965,6894679.971999999,4.0,7.0,141.0,-17.89406180381775,-27.568471431732178,-27.731330394744873,-16.65476083755493,1.158354640007019,0.33377429842948914,0.2776595652103424
4,514776.0525,6895900.385000002,5.0,12.0,135.0,-14.87856388092041,-26.204524040222168,-27.07198143005371,-13.692485094070435,1.1518597602844238,0.27098503708839417,0.21364986896514893
5,515286.5153999999,6894816.568500001,6.0,20.0,116.0,-20.611777305603027,-31.691482067108154,-32.132277488708496,-21.394755840301514,0.9054365754127502,0.2859615981578827,0.30358898639678955
6,516556.4506999997,6892709.757500001,7.0,9.0,122.0,-18.6046040058136,-31.283891201019287,-31.192023754119873,-20.664401054382324,0.7851026058197021,0.2317509800195694,0.3019048571586609
7,517584.52759999956,6891085.094700001,8.0,14.0,115.0,-21.741924285888672,-31.75062656402588,-32.03540802001953,-20.35609483718872,1.1767261028289795,0.32032424211502075,0.26427969336509705
8,518242.72709999967,6890525.765500002,9.0,25.0,111.0,-21.963191032409668,-31.22270107269287,-32.006237506866455,-20.64128875732422,1.172829031944275,0.3473920524120331,0.2725185751914978
9,519394.4763000004,6889226.619499999,10.0,17.0,126.0,-19.77741837501526,-30.37602663040161,-30.039949417114258,-20.13233184814453,0.9656922817230225,0.3005823791027069,0.32378798723220825
10,511556.49079999985,6897421.97,11.0,4.0,130.0,-20.531508922576904,-30.828146934509277,-31.291871070861816,-20.144124031066895,1.0459399223327637,0.31077638268470764,0.2896077036857605
12,510905.56399999995,6895639.436900001,13.0,1.0,142.0,-19.89890694618225,-30.107131004333496,-31.646242141723633,-19.168864488601685,1.088963508605957,0.31902381777763367,0.24862894415855408
13,511985.9735000001,6894755.653000002,14.0,4.0,140.0,-19.39088463783264,-31.875429153442383,-29.082975387573242,-18.14283847808838,1.1631901264190674,0.23981471359729767,0.28499534726142883
14,513549.56879999954,6893886.819899999,15.0,5.0,142.0,-15.850629806518555,-27.862224578857422,-28.76216411590576,-15.968242883682251,0.9934544563293457,0.2570382058620453,0.23315702378749847
15,514619.5829000001,6893300.2828,16.0,6.0,142.0,-19.312738180160522,-30.35649061203003,-31.191656589508057,-18.407281637191772,1.1256670951843262,0.28224027156829834,0.22952516376972198
16,513856.41599999997,6891355.4991,17.0,11.0,115.0,-19.564759731292725,-31.20727300643921,-30.637378692626953,-18.758891820907593,1.0986446142196655,0.2685193121433258,0.26448166370391846
17,513308.01639999985,6890511.631999999,18.0,2.0,137.0,-19.537358283996582,-30.235633850097656,-30.313575267791748,-19.289618730545044,1.0416110754013062,0.308794230222702,0.29256656765937805
18,515407.3453000001,6891851.287300003,19.0,3.0,137.0,-18.058106899261475,-30.79975128173828,-30.73937177658081,-18.741127252578735,0.9113907814025879,0.23217159509658813,0.25950348377227783
19,516632.86470000003,6891092.862399999,20.0,2.0,136.0,-18.223795890808105,-31.608071327209473,-29.961869716644287,-17.816935777664185,1.0605767965316772,0.22086933255195618,0.25140827894210815
20,516676.53289999993,6890291.8521,21.0,1.0,140.0,-17.744452953338623,-29.685094356536865,-30.018229484558105,-18.503297567367554,0.9110733270645142,0.2517470717430115,0.27238962054252625
21,516748.4797000007,6890290.425500002,22.0,5.0,140.0,-18.71381640434265,-29.385244846343994,-30.520336627960205,-19.24723982810974,0.9406256079673767,0.2936646640300751,0.2771081030368805
22,517512.04770000075,6890086.526700001,23.0,6.0,141.0,-18.17653775215149,-29.469962120056152,-29.546949863433838,-17.625255584716797,1.0714741945266724,0.2834402322769165,0.2653886675834656
23,517623.11060000054,6889133.252999999,24.0,6.0,143.0,-18.02648901939392,-29.353487491607666,-28.945133686065674,-17.480610609054565,1.0594475269317627,0.2724618911743164,0.2735089063644409
24,518507.5504000002,6888427.883499999,25.0,7.0,142.0,-18.660013675689697,-30.21293878555298,-31.37748956680298,-18.18809747695923,1.0892894268035889,0.27558907866477966,0.21861615777015686
25,514906.67640000023,6892401.942600001,57.0,15.0,,-18.903125524520874,-29.98830556869507,-30.292391777038574,-18.951624631881714,1.002652645111084,0.2819548547267914,0.27256813645362854
26,515789.8425000002,6893546.6371,63.0,32.0,,-20.385379791259766,-31.274304389953613,-30.998311042785645,-19.9015212059021,1.0552515983581543,0.28533774614334106,0.28217417001724243
# Image values are a mean over a 5x5 box
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/DeceptionBay/RS2_20180508/RS2_20180508_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_D_thicknesses_notransect_WGS84.shp
