,long,lat,OBJECTID,ID_Map,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,661353.7522999996,6836709.4931,1,1,76,22,-17.67122983932495,-28.245575428009033,-29.85234498977661,-17.1259868144989,1.0942466259002686,0.30743321776390076,0.2337004691362381
1,661351.4512999998,6837359.7365999995,2,2,71,14,-16.362755298614502,-29.38391923904419,-30.218698978424072,-17.38563895225525,0.8930947184562683,0.23783181607723236,0.2400549054145813
2,661345.5557999999,6837406.312699999,3,3,65,18,-15.793651342391968,-29.261629581451416,-29.02008295059204,-15.815877914428711,1.003841757774353,0.20978721976280212,0.22047199308872223
3,661342.1090000002,6836856.197399999,4,4,79,14,-16.007838249206543,-28.420886993408203,-29.57792043685913,-15.675578117370605,1.029679536819458,0.24036338925361633,0.2041456401348114
4,660752.0865000002,6833532.6411000015,5,5,76,22,-17.825121879577637,-28.975601196289062,-28.56008529663086,-17.083669900894165,1.0995765924453735,0.2860574424266815,0.27561795711517334
5,660361.6457,6833514.592300002,6,6,77.5,25.5,-17.430665493011475,-27.198891639709473,-28.100647926330566,-16.846001148223877,1.0723166465759277,0.3275972604751587,0.2807789742946625
6,659912.6276000004,6833498.224,7,7,81.5,21,-16.29325032234192,-29.268927574157715,-28.671209812164307,-17.134655714035034,0.9230673313140869,0.2273784875869751,0.2636769413948059
7,658920.6308000013,6833403.7776999995,8,8,76.5,19,-21.35526418685913,-28.44672918319702,-28.704752922058105,-21.33125066757202,1.009284257888794,0.4473784565925598,0.43607720732688904
8,657964.6127000003,6832707.0253,9,9,68,26,-19.69149351119995,-30.451653003692627,-32.123475074768066,-18.238452672958374,1.178918480873108,0.288578599691391,0.20284797251224518
9,657968.8831999998,6832713.578699999,10,10,62,32,-19.615402221679688,-30.548884868621826,-32.15771436691284,-18.277188539505005,1.1670900583267212,0.28322532773017883,0.20364633202552795
10,657976.9477999998,6832710.378199997,11,11,71,30,-19.728882312774658,-30.62950849533081,-32.187862396240234,-18.63688588142395,1.1347719430923462,0.28372448682785034,0.21202339231967926
11,657970.8152999997,6832706.193599999,12,12,70,30,-19.69149351119995,-30.451653003692627,-32.123475074768066,-18.238452672958374,1.178918480873108,0.288578599691391,0.20284797251224518
12,657734.8932000002,6832857.928800003,13,13,67.5,16,-19.45279359817505,-30.880577564239502,-31.125352382659912,-18.59007716178894,1.120031714439392,0.28176113963127136,0.24910877645015717
13,657424.0245000004,6833051.436099999,14,14,68,16,-19.53648090362549,-30.29827117919922,-28.981444835662842,-20.597424507141113,0.9057581424713135,0.30152684450149536,0.3841254413127899
14,657147.6514000001,6833276.990800001,15,15,73,16,-17.388324737548828,-31.042778491973877,-29.043009281158447,-18.72432589530945,0.8704771995544434,0.2120562493801117,0.30553194880485535
15,661306.334,6836043.538199998,16,A,92,6,-16.56684160232544,-28.52336883544922,-28.39280605316162,-15.617215633392334,1.1395548582077026,0.2489924281835556,0.23149503767490387
16,661280.4584000001,6838003.418900002,17,B,74,,-19.062199592590332,-29.210989475250244,-29.844624996185303,-17.629835605621338,1.1941249370574951,0.31574320793151855,0.24547305703163147
17,657964.0270999997,6832719.826200001,18,C,71,19,-19.171791076660156,-30.505380630493164,-31.786539554595947,-18.31296682357788,1.114790678024292,0.27287718653678894,0.21402990818023682
# Image values are a mean over a 5x5 box
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Kangiqsujuaq/RS2_20160116/RS2_20160116_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1601_K_thicknesses_WGS84.shp
