,long,lat,_ID_Ma,_IceTh,_SnowT,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,659775.8018000432,6833290.8489778275,K_Core_5,45,8,-17.57073402404785,-29.01341438293457,-29.61369037628174,-18.024049997329712,0.9815216064453125,0.27976280450820923,0.2652425467967987
1,658362.4931672493,6834648.972309582,K_Core_4,58,16,-13.701270818710327,-29.234440326690674,-28.18751811981201,-13.253482580184937,1.0624988079071045,0.19111743569374084,0.21034999191761017
2,656912.7623594967,6832667.654858809,K_Core_3,52,12,-18.694087266921997,-30.121634006500244,-29.354305267333984,-17.60419726371765,1.1638517379760742,0.2762306034564972,0.2599579095840454
3,660007.4579396131,6836973.480895688,K_Core_2,74,21,-11.661770343780518,-24.59707736968994,-24.821748733520508,-12.757706642150879,0.8680189251899719,0.23562867939472198,0.2677661180496216
4,661289.453002618,6838015.329753108,K_Core_1,73,3,-13.88493537902832,-27.04322099685669,-26.014161109924316,-14.479453563690186,0.9123570919036865,0.22594015300273895,0.28175482153892517
5,661017.2473950064,6835006.6551543195,K_5,77,11,-15.709795951843262,-25.397469997406006,-25.141522884368896,-14.136691093444824,1.2070996761322021,0.3331608474254608,0.2830961346626282
6,661011.4080283999,6837018.439142434,K_6,74,13,-12.817739248275757,-24.792840480804443,-25.253384113311768,-13.156682252883911,0.9818698763847351,0.2566733658313751,0.2512146234512329
7,660037.5878848744,6835007.81421169,K_7,77,12,-14.673532247543335,-27.19991683959961,-26.28485679626465,-15.452889204025269,0.9141973853111267,0.23685552179813385,0.2874692976474762
8,660009.3751143342,6838021.69396223,K_8,70,8,-12.249047756195068,-25.00809669494629,-24.03108835220337,-11.491928100585938,1.0951200723648071,0.23273177444934845,0.24243322014808655
9,659009.9838395086,6836991.915733043,K_9,60,8,-13.166805505752563,-24.233567714691162,-24.28001642227173,-12.658548355102539,1.0749229192733765,0.28839707374572754,0.26904696226119995
10,658995.1181117382,6836008.828148362,K_10,70,12,-14.403995275497437,-24.361040592193604,-24.069945812225342,-12.795672416687012,1.188209056854248,0.3231542110443115,0.2841036915779114
11,660017.0147615105,6835997.640482187,K_11,71,12,-11.63671612739563,-26.446704864501953,-26.118557453155518,-12.289472818374634,0.9301775097846985,0.18461568653583527,0.20639298856258392
12,659996.7526381211,6834013.686452272,K_12,58,7,-20.395100116729736,-29.896996021270752,-30.52285671234131,-20.253078937530518,1.0177466869354248,0.3445099890232086,0.32122090458869934
13,658974.1279834387,6834010.714966813,K_13,70,14,-18.323920965194702,-26.836576461791992,-27.835826873779297,-18.580305576324463,0.9528903365135193,0.37641966342926025,0.35381069779396057
14,658995.0945642248,6834997.871088594,K_18__,64,9,-15.267419815063477,-26.569321155548096,-26.466305255889893,-15.222071409225464,1.0030287504196167,0.2711881101131439,0.27703362703323364
15,657684.5509852441,6832232.207567633,K_2,54,7,-15.833266973495483,-30.406718254089355,-31.00947141647339,-18.209210634231567,0.7687214612960815,0.19017711281776428,0.232402503490448
16,655985.5162936398,6832992.167704271,K_3,54,6,-15.974252223968506,-28.60605478286743,-28.46015691757202,-15.928016901016235,0.9981274604797363,0.23386834561824799,0.2414039969444275
17,657279.230392674,6833489.896729719,K_4,50,10,-15.160698890686035,-30.11831760406494,-28.91178607940674,-16.265064477920532,0.8818953633308411,0.17911472916603088,0.23468154668807983
18,657040.2308844924,6834199.140401586,K_14,60,6,-12.131612300872803,-27.57476568222046,-26.999380588531494,-12.128764390945435,1.0009987354278564,0.1688355803489685,0.17971020936965942
19,657102.3094854937,6835002.06953205,K_15,60,8,-11.433131694793701,-27.796263694763184,-27.167963981628418,-11.85623288154602,0.9660847187042236,0.15620699524879456,0.17464633285999298
20,657141.3934544418,6835932.23094252,K_16,59,8,-13.161455392837524,-28.683745861053467,-28.461556434631348,-14.248672723770142,0.865455150604248,0.16870056092739105,0.20437246561050415
21,658115.7409256292,6835094.882305268,K_17,93,15,-13.894771337509155,-25.896732807159424,-25.939979553222656,-13.673185110092163,1.0302832126617432,0.2542983293533325,0.2433529794216156
22,658008.7560684966,6834002.02480611,K_18,53,7,-19.481725692749023,-29.772260189056396,-28.924262523651123,-19.213907718658447,1.0333384275436401,0.30744633078575134,0.3311932384967804
23,658008.4944816837,6836002.631672813,K_19,63,9,-13.070948123931885,-25.330889225006104,-25.369958877563477,-13.46686840057373,0.9733762145042419,0.24915379285812378,0.2556559443473816
24,661207.8656433533,6836022.243492487,K_20,78,5,-14.880082607269287,-25.059099197387695,-24.46390390396118,-13.789893388748169,1.1363164186477661,0.3102489411830902,0.29388102889060974
25,660755.1640421872,6833522.60873984,K_1,54,15,-16.803061962127686,-30.045547485351562,-31.170568466186523,-17.39637017250061,0.9669529795646667,0.22509071230888367,0.20641452074050903
# Image values are a mean over a 5x5 box
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Kangiqsujuaq/RS2_20170110/RS2_20170110_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1701_K_thicknesses_WGS84.shp
