 ,X,Y
1,23.750,123.250
2,27.250,119.500
3,30.750,116.750
4,36.000,114.000
5,39.500,112.000
6,43.750,109.750
7,47.250,108.250
8,50.500,108.750
9,53.500,111.000
10,56.250,113.500
11,60.500,116.500
12,63.500,118.750
13,67.000,120.250
14,70.250,120.500
15,74.500,120.500
16,78.000,119.750
17,81.000,119.250
18,84.250,119.750
19,88.000,118.750
20,92.250,117.750
21,94.000,116.000
22,95.250,112.250
23,96.250,109.250
24,98.000,107.000
25,100.500,105.250
26,102.750,105.000
27,105.750,104.250
28,107.750,104.000
29,109.250,102.500
30,111.250,99.250
31,112.250,96.000
32,113.250,92.500
33,114.000,87.500
34,115.000,83.250
35,115.500,79.500
36,118.500,76.250
37,121.250,73.000
38,122.250,71.000
39,122.250,67.500
40,122.250,63.750
41,121.750,59.000
42,119.500,56.500
43,117.250,52.750
44,115.000,51.000
45,112.750,48.000
46,110.500,45.000
47,110.000,41.000
48,110.000,38.250
49,110.750,34.750
50,112.250,31.000
51,114.000,28.000
52,115.250,25.750
53,118.500,20.000
54,122.500,14.000
