,long,lat,OBJECTID,ID_Map,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,466206.3543999995,6897912.4454,1,1,86,,-16.700210571289062,-29.747416973114014,-29.747676849365234,-17.808209657669067,0.8677534461021423,0.22590260207653046,0.2643308937549591
1,464389.7440000002,6897592.2437,2,2,79,20,-16.98329448699951,-29.93852138519287,-30.893750190734863,-17.64172911643982,0.9397480487823486,0.2304338961839676,0.21752578020095825
2,463151.89169999957,6896582.006099998,3,3,65,18,-18.507907390594482,-30.18843412399292,-30.9132719039917,-17.488632202148438,1.1345916986465454,0.2641926407814026,0.21504443883895874
3,462313.9990999994,6895850.040199998,4,4,83,15,-18.273894786834717,-31.74997329711914,-31.71602487564087,-20.10157346725464,0.8228322863578796,0.21689358353614807,0.2640420198440552
4,460468.7150999994,6896149.263,5,5,82,14,-15.62015414237976,-29.435970783233643,-29.18001651763916,-15.447431802749634,1.0274848937988281,0.20547035336494446,0.2073255181312561
5,461605.2555000004,6897090.604800001,7,7,82,10,-18.084129095077515,-29.15931224822998,-29.928467273712158,-18.528448343276978,0.9555251598358154,0.2812817096710205,0.2688474953174591
6,462388.9293000002,6898034.460900001,8,8,85,10,-15.938266515731812,-29.374980926513672,-30.28538227081299,-16.882436275482178,0.8960720300674438,0.21325334906578064,0.21679365634918213
7,464521.4286000001,6899696.5493,9,9,75,20,-18.455976247787476,-31.295480728149414,-30.144917964935303,-19.717843532562256,0.8742026686668396,0.23449689149856567,0.3020004630088806
8,465149.4566000004,6899087.582600001,10,10,80,20,-19.396629333496094,-31.726646423339844,-31.190710067749023,-20.166728496551514,0.9175507426261902,0.24368973076343536,0.2843923568725586
9,467999.1073000009,6900225.878600001,11,A,83,10,-15.428317785263062,-29.680321216583252,-28.502511978149414,-15.072678327560425,1.0289223194122314,0.19748178124427795,0.226381316781044
10,470335.2790000004,6901512.5455,12,B,69,15,-18.81379723548889,-29.618165493011475,-31.706712245941162,-19.014346599578857,0.9984464049339294,0.29446712136268616,0.23351959884166718
# Image values are a mean over a 5x5 box
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Salluit/RS2_20160112/RS2_20160112_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1601_S_thicknesses_nopolynia_WGS84.shp
