,long,lat,ID_1,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,468135.4756369982,6900425.904594194,1.0,145.0,12.0,-17.953975200653076,-30.986623764038086,-31.586885452270508,-17.69959568977356,1.044270396232605,0.22642984986305237,0.20089809596538544
1,467662.1943279911,6901726.4688309925,4.0,145.0,21.0,-17.159703969955444,-31.534066200256348,-31.25253677368164,-18.542346954345703,0.8563774824142456,0.19148051738739014,0.23012806475162506
2,466002.9450304126,6900016.722122841,5.0,128.0,31.0,-18.506659269332886,-32.09088087081909,-31.72729730606079,-18.57627511024475,1.0088872909545898,0.22162629663944244,0.23055210709571838
3,464899.07886364846,6897919.909274008,4.0,145.0,21.0,-19.670939445495605,-31.20042324066162,-31.42652988433838,-19.234588146209717,1.0560939311981201,0.26758068799972534,0.24677982926368713
4,462098.5260059305,6896601.263770532,2.0,135.0,1.0,-19.032692909240723,-31.6794753074646,-31.218886375427246,-19.31304693222046,0.9658151268959045,0.23263734579086304,0.257857084274292
5,468995.0459883977,6901995.343116534,17.0,131.0,8.0,-16.120809316635132,-29.067363739013672,-29.561710357666016,-15.497143268585205,1.0769586563110352,0.22241006791591644,0.1989818960428238
6,468992.812711847,6901008.930715667,16.0,125.0,10.0,-15.921226739883423,-28.836195468902588,-28.27690839767456,-16.05928063392639,0.9841384291648865,0.2276092916727066,0.2474353164434433
7,468135.58380732156,6900426.3492352255,14.0,135.0,13.0,-17.953975200653076,-30.986623764038086,-31.586885452270508,-17.69959568977356,1.044270396232605,0.22642984986305237,0.20089809596538544
8,467005.69305288995,6902005.803529584,15.0,134.0,28.0,-18.2900071144104,-31.932551860809326,-33.47702980041504,-18.603399991989136,1.0344890356063843,0.230702206492424,0.18213090300559998
9,466997.2572096449,6901013.429997686,13.0,135.0,6.0,-21.072876453399658,-31.406960487365723,-32.09290266036987,-21.021149158477783,1.0047087669372559,0.305044025182724,0.2862316370010376
10,465991.59936625307,6901008.069985961,12.0,126.0,24.0,-19.79472279548645,-30.645451545715332,-32.11084842681885,-19.39653992652893,1.0520375967025757,0.2879519462585449,0.22905029356479645
11,464990.0867926696,6900008.276511783,10.0,126.0,22.0,-21.07513666152954,-32.028958797454834,-32.01020002365112,-20.627717971801758,1.067346453666687,0.29255616664886475,0.27946919202804565
12,465987.9015547282,6899011.2700776635,11.0,136.0,19.0,-18.799961805343628,-31.39326810836792,-29.864842891693115,-19.209829568862915,0.9634671807289124,0.23493193089962006,0.2963716387748718
13,463965.2179528894,6898723.2494705785,2.0,118.0,27.0,-19.150596857070923,-30.28529405593872,-30.840373039245605,-18.60610604286194,1.0795645713806152,0.28210458159446716,0.24485141038894653
14,463076.8124747657,6898220.822935221,4.0,128.0,12.0,-19.52775478363037,-32.30917692184448,-32.052905559539795,-19.669315814971924,0.9930810332298279,0.23071154952049255,0.24016964435577393
15,461115.69051791885,6896856.344126253,8.0,142.0,0.0,-22.259230613708496,-31.8196702003479,-31.943964958190918,-23.181698322296143,0.9204749464988708,0.3489750623703003,0.3698325753211975
16,461179.7471443392,6896305.226613796,7.0,141.0,0.0,-21.020078659057617,-32.38418102264404,-32.55714416503906,-21.305525302886963,0.9884088039398193,0.2837442457675934,0.2769709825515747
17,462206.4440958885,6895811.2505943095,6.0,138.0,2.0,-18.844701051712036,-31.60757541656494,-32.10227727890015,-20.46422004699707,0.8289251923561096,0.23442982137203217,0.26392143964767456
18,462964.54086383944,6896988.043697638,5.0,130.0,0.0,-19.468376636505127,-31.889140605926514,-30.616044998168945,-18.895126581192017,1.0711160898208618,0.24121807515621185,0.2626938819885254
19,464013.884143912,6897962.89283817,3.0,118.0,22.0,-19.36494469642639,-29.345693588256836,-31.665773391723633,-18.637903928756714,1.0881403684616089,0.31704655289649963,0.22379903495311737
20,466131.56548844726,6897830.638613795,1.0,135.0,0.0,-21.16321563720703,-30.552594661712646,-31.859610080718994,-22.024929523468018,0.9046381115913391,0.3577611446380615,0.3576923608779907
21,465145.74920700374,6899063.9944599215,9.0,111.0,24.0,-17.91967511177063,-31.43533706665039,-31.213889122009277,-17.61796236038208,1.0448503494262695,0.21273651719093323,0.20856831967830658
# Image values are a mean over a 5x5 box
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Salluit/RS2_20170412/RS2_20170412_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1704_S_thicknesses_WGS84.shp
