 ,X,Y
1,82.000,303.500
2,81.000,297.000
3,81.000,291.000
4,82.000,284.000
5,84.000,279.000
6,86.500,273.000
7,90.500,266.500
8,95.000,260.500
9,100.500,257.000
10,104.500,255.500
11,110.000,254.000
12,116.000,253.000
13,122.000,253.500
14,128.000,254.000
15,135.500,253.500
16,140.000,252.000
17,144.000,250.500
18,150.000,246.000
19,157.500,240.500
20,168.500,232.000
21,180.500,222.000
22,192.500,210.500
23,202.000,202.500
24,214.500,191.500
25,225.000,184.000
26,234.500,180.000
27,242.500,177.500
28,252.500,173.500
29,262.500,168.000
30,271.000,163.000
31,276.000,159.000
32,280.000,155.500
33,284.500,151.500
34,289.000,146.000
35,293.500,140.500
36,297.500,132.500
37,300.500,124.500
38,303.000,117.500
39,305.000,107.000
40,305.500,96.000
41,306.000,80.000
42,306.000,67.000
