,long,lat,OBJECTID,ID_Map,Ice,Snow,HH
0,519426.7196000004,6889052.9695999995,1,1,101,11.5,-17.868847
1,519070.28760000085,6889418.8429000005,2,2,95,12.5,-20.496393
2,517776.71960000024,6890841.343199998,3,3,83,25,-19.559881
3,513745.9570000003,6894879.454100002,4,4,81,5,-18.178562
4,515734.8554999998,6891644.915899999,5,5,87.5,7,-19.869875
5,513991.3921,6893906.002500001,6,5,87.5,7,-17.996899
6,514360.5166999998,6893619.125700002,7,7,90,14,-19.117607
7,515096.05260000017,6892622.809300002,8,8,85.5,5,-19.500057
8,515852.656200001,6890993.8587,9,9,90.5,12,-19.803505
9,514924.29480000056,6892871.035799998,10,C,88,10,-19.657997
10,512804.07000000036,6895793.7245000005,11,B,76,,-17.217585
11,519291.3477999999,6888675.129200001,12,A,95,,-19.373817
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit13_IncAngle38_HHVV/01K0001_20160125T223151_TDX_db.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1601_D_thicknesses_WGS84.shp
