,long,lat,OBJECTID,ID_Map,Ice,Snow,HH
0,513000.10316214926,6895110.340297905,1,D_7,119.0,18.0,-19.175592
1,513856.5331952997,6894042.472622206,2,D_8,121.0,6.0,-17.465258
2,513927.34525306226,6892895.962804926,3,D_9,130.0,5.0,-16.769875
3,514552.9127894939,6892153.525395634,4,D_10,128.0,14.0,-18.274866
4,515708.450554359,6891619.508044934,5,D_2,128.0,3.0,-17.085976
5,517164.2247534725,6890956.265053917,6,D_18,128.0,6.0,-18.965015
6,517021.441026973,6890092.377343916,7,D_11,129.0,3.0,-18.139002
7,518181.4276167891,6888975.12000497,8,D_12,130.0,1.0,-18.391554
8,513999.4306711281,6896020.618872343,9,D_6,115.0,39.0,-19.443005
9,515000.8708094718,6895036.759796119,10,D_5,108.0,38.0,-18.52003
10,515030.9835597045,6894026.66997705,11,D_4,115.0,22.0,-19.079945
11,516123.05140192097,6893055.801013718,12,D_3,108.0,21.0,-18.12821
12,515838.39228634845,6891056.958365591,13,D_1,130.0,4.0,-16.762707
13,517897.61462992465,6890787.615849208,14,D_17,43.0,11.0,-18.99341
14,517937.2540658817,6890115.160537499,15,D_15,123.0,7.0,-18.596596
15,518236.7140700801,6889746.897920066,16,D_14,127.0,11.0,-18.870705
16,519345.9730869707,6888462.322794749,17,D_13,113.0,16.0,-16.816
17,512796.59980047744,6895801.048869076,18,D_Core_3,108.0,19.0,-17.124313
18,513739.1073983081,6894886.778916758,19,D_Core_2,113.0,38.0,-18.879608
19,514921.5061513049,6892865.564638135,20,D_Core_1,122.0,20.0,-19.009584
20,519298.263883599,6888678.733600439,21,D_Core_5,119.0,15.0,-18.265352
21,516279.8550367975,6891452.763350433,22,D_Core_4,125.0,6.0,-18.257143
22,515494.323388729,6892631.632628359,28,,,7.0,-17.721294403076172
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit13_IncAngle38_HHVV/01K0001_20170501T223202_TDX_db.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1704_D_thicknesses_notransect_WGS84.shp
