,long,lat,OBJECTID,ID_Map,Ice,Snow,VV
0,514623.31039932277,6892175.330853996,23,,,8.0,-18.321556091308594
1,514735.8124048046,6892231.299798923,24,,,5.0,-19.079845428466797
2,514878.89090522175,6892299.550257545,25,,,10.0,-18.216793060302734
3,515047.63791663526,6892381.735310726,26,,,5.0,-18.131324768066406
4,515238.7439295982,6892483.080074229,27,,,12.0,-18.779743194580078
5,515775.6831049741,6892832.239942432,44,,,11.0,-18.989778518676758
6,515949.1196772228,6892925.967104134,45,,,15.0,-19.333820343017578
7,516118.00067902304,6893044.524926875,46,,,16.0,-19.342958450317383
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit13_IncAngle38_HHVV/08K0001_20170501T223202_TDX_db.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1704_D_thicknesses_transect_noship_WGS84.shp
