,long,lat,OBJECTID,ID_1,Ice,Snow,HH
0,514632.62716436666,6892165.4562283205,1.0,10.0,153.0,0.0,-18.824892044067383
1,513983.7388606032,6893000.8049634015,2.0,9.0,155.0,2.0,-18.257177352905273
2,514008.35971439874,6894045.9977485025,3.0,8.0,109.0,25.0,-13.91491985321045
3,512913.7855631754,6895126.492028484,4.0,7.0,131.0,18.0,-16.82705307006836
4,513997.6663933948,6896019.386129912,5.0,6.0,120.0,25.0,-16.403274536132812
5,514999.95561376965,6895031.85386001,6.0,5.0,133.0,33.0,-17.573078155517578
6,515031.72798080224,6894023.21967075,7.0,4.0,152.0,14.0,-18.068994522094727
7,516126.70807405835,6893053.59037616,8.0,3.0,147.0,8.0,-19.016252517700195
8,515767.0555101724,6891612.201598297,9.0,2.0,138.0,20.0,-19.913631439208984
9,515842.0618951835,6891052.408061365,10.0,1.0,147.0,5.0,-18.890047073364258
10,517051.0303935684,6889962.625502263,12.0,11.0,134.0,23.0,-19.9780330657959
11,518236.01014381915,6888872.362792415,13.0,12.0,155.0,0.0,-18.05744743347168
12,519426.7210369333,6888388.701244223,14.0,13.0,140.0,10.0,-13.828651428222656
13,518245.8503502447,6889735.02692349,15.0,14.0,165.0,13.0,-19.225317001342773
14,517939.6539186111,6890114.839048622,16.0,15.0,140.0,29.0,-17.896291732788086
15,517890.49720815936,6890793.037058212,17.0,17.0,122.0,40.0,-15.181193351745605
16,514923.5847975387,6892866.687931566,18.0,1.0,130.0,30.0,-15.43883991241455
17,513744.33817983075,6894880.672963875,19.0,2.0,155.0,5.0,-18.278980255126953
18,512803.17850907583,6895795.503532725,20.0,3.0,131.0,22.0,-17.351245880126953
19,516277.5159304528,6891451.526660795,21.0,4.0,165.0,0.0,-15.20461654663086
20,519298.3860041852,6888675.61500224,22.0,5.0,173.0,6.0,-14.945034980773926
# Image values are a mean over a 9x9 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit13_IncAngle38_HHVV/01K0001_20160422T223154_TSX_db.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1604_D_thicknesses_WGS84.shp
