,long,lat,OBJECTID,ID_Map,Ice,Snow,HH
0,514623.31039932277,6892175.330853996,23,,,8.0,-18.245458602905273
1,514735.8124048046,6892231.299798923,24,,,5.0,-18.344728469848633
2,514878.89090522175,6892299.550257545,25,,,10.0,-17.868446350097656
3,515047.63791663526,6892381.735310726,26,,,5.0,-17.96415138244629
4,515238.7439295982,6892483.080074229,27,,,12.0,-17.534305572509766
5,515775.6831049741,6892832.239942432,44,,,11.0,-18.688440322875977
6,515949.1196772228,6892925.967104134,45,,,15.0,-17.8850040435791
7,516118.00067902304,6893044.524926875,46,,,16.0,-18.47589874267578
# Image values are a mean over a 9x9 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit13_IncAngle38_HHVV/01K0001_20170501T223202_TDX_db.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1704_D_thicknesses_transect_noship_WGS84.shp
