,long,lat,OBJECTID,Snow,Ice,ID_Map,HH
0,516015.4127000009,6893807.386300002,3,12.0,,,-20.042648315429688
1,514990.187199999,6892460.911499999,76,19.0,,,-18.2977294921875
2,515195.77610000037,6894758.450300001,105,9.0,83,D_14,-20.102148
3,515146.23289999994,6894012.145799997,106,3.0,82,D_13,-18.808096
4,512764.58180000004,6897273.816599999,107,7.0,84,D_27,-18.136683
5,512271.9946,6896300.087099999,108,8.0,85,D_24,-17.390255
6,512789.8273999998,6895624.445999999,109,5.0,90,D_30,-16.905869
7,513460.9341000012,6896183.0825,110,7.0,90,D_25,-16.83884
8,514591.94579999964,6895871.063200001,111,10.0,79,D_22,-15.453421
9,514014.28760000016,6895300.8906,112,4.0,105,D_20,-15.060087
10,513758.78120000026,6894721.979499999,113,4.0,90,D_21,-16.66676
11,515195.77610000037,6894758.450300001,114,20.0,71,D_14,-20.102148
12,515146.23289999994,6894012.145799997,115,18.0,70,D_13,-18.808096
13,515664.784,6893314.219700002,116,11.0,75,L_3,-19.000381
14,513275.1316999996,6890523.0887,117,7.0,88,D_15,-17.918045
15,513822.74749999936,6891343.552099998,118,9.0,85,D_16,-17.192854
16,514059.6670000003,6892491.999899998,119,4.0,89,D_17,-17.507017
17,514669.59140000044,6893322.3352,120,5.0,92,D_18,-17.88218
18,513563.0406999996,6893903.584800001,121,5.0,97,D_19,-14.825227
19,511985.1633000003,6894734.5945000015,122,6.0,86,D_23,-16.325579
20,510861.87120000017,6895615.009500001,123,6.0,88,D_26,-13.579814
21,510307.31759999966,6896632.8457,124,6.0,88,D_29,-14.683251
22,511621.5990000013,6897367.493999999,125,8.0,81,D_28,-17.923906
23,516597.77849999967,6892695.477800001,126,9.0,74,253,-19.724085
24,518190.6286000007,6890617.2826000005,127,20.0,76,254,-19.651623
25,519744.8718999999,6888402.1307,128,9.0,86,D_1,-17.256733
26,519432.0939000006,6889250.453600001,129,21.0,69,D_4,-18.26409
27,518497.3934000006,6888434.846500002,130,4.0,86,D_2,-15.872304
28,517622.11110000033,6889134.918900002,131,4.0,85,D_5,-16.446518
29,517546.4626999992,6890125.362799997,132,5.0,80,D_6,-18.626467
30,516632.0184000004,6890248.518800002,133,5.0,80,D_8,-16.917952
31,516588.0451999995,6891113.697600001,134,5.0,79,D_9,-17.693346
32,517577.84360000025,6891057.542800002,135,19.0,61,D_7,-19.525438
33,515386.7638000001,6891828.3554,136,4.0,81,D_12,-17.647171
0,516036.4577000006,6893827.984900002,1,18.0,,,-18.58946990966797
1,516047.2786999987,6893841.1822,2,16.0,,,-19.139455795288086
2,515999.19519999984,6893790.041499998,4,17.0,,,-20.288305282592773
3,515987.86530000024,6893774.2797,5,8.0,,,-20.063600540161133
4,515974.1928000002,6893758.2839,6,15.0,,,-20.213573455810547
5,515964.62999999966,6893743.198899999,7,17.0,,,-20.20928192138672
6,515954.1339999995,6893727.218299999,8,14.0,,,-20.07759666442871
7,515938.08670000016,6893706.7553,9,9.0,,,-19.995521545410156
8,515926.08810000005,6893689.096500002,10,10.0,,,-19.995710372924805
9,515914.182,6893673.889199998,11,15.0,,,-20.077381134033203
10,515900.10420000023,6893655.329500001,12,10.0,,,-20.069557189941406
11,515864.7432000006,6893622.0757,13,10.0,,,-19.996301651000977
12,515853.8301999996,6893605.982,14,14.0,,,-19.11121368408203
13,515838.3578000001,6893584.853700002,15,14.0,,,-19.414884567260742
14,515824.0604999998,6893568.5215,16,10.0,,,-19.374732971191406
15,515808.41110000096,6893551.737300001,17,10.0,,,-19.274717330932617
16,515792.1501999998,6893532.053800002,18,10.0,,,-19.425073623657227
17,515778.21540000016,6893516.057599999,19,10.0,,,-19.18642807006836
18,515763.34780000034,6893499.054499999,20,6.0,,,-18.577342987060547
19,515747.9577000004,6893482.383299999,21,6.0,,,-18.412273406982422
20,515735.67970000044,6893468.4003,22,11.0,,,-18.364625930786133
21,515720.6053999995,6893450.950800002,23,9.0,,,-18.339397430419922
22,515707.29290000047,6893435.403499997,24,6.0,,,-18.562267303466797
23,515693.61820000067,6893419.297499999,25,4.0,,,-18.231735229492188
24,515676.5097999998,6893402.395699999,26,6.0,,,-18.932743072509766
