,long,lat,OBJECTID,Snow,Ice,ID_Map,HH
0,516015.4127000009,6893807.386300002,3,12.0,,,-20.042648315429688
1,514990.187199999,6892460.911499999,76,19.0,,,-18.2977294921875
2,515195.77610000037,6894758.450300001,105,9.0,83,D_14,-20.102148
3,515146.23289999994,6894012.145799997,106,3.0,82,D_13,-18.808096
4,512764.58180000004,6897273.816599999,107,7.0,84,D_27,-18.136683
5,512271.9946,6896300.087099999,108,8.0,85,D_24,-17.390255
6,512789.8273999998,6895624.445999999,109,5.0,90,D_30,-16.905869
7,513460.9341000012,6896183.0825,110,7.0,90,D_25,-16.83884
8,514591.94579999964,6895871.063200001,111,10.0,79,D_22,-15.453421
9,514014.28760000016,6895300.8906,112,4.0,105,D_20,-15.060087
10,513758.78120000026,6894721.979499999,113,4.0,90,D_21,-16.66676
11,515195.77610000037,6894758.450300001,114,20.0,71,D_14,-20.102148
12,515146.23289999994,6894012.145799997,115,18.0,70,D_13,-18.808096
13,515664.784,6893314.219700002,116,11.0,75,L_3,-19.000381
14,513275.1316999996,6890523.0887,117,7.0,88,D_15,-17.918045
15,513822.74749999936,6891343.552099998,118,9.0,85,D_16,-17.192854
16,514059.6670000003,6892491.999899998,119,4.0,89,D_17,-17.507017
17,514669.59140000044,6893322.3352,120,5.0,92,D_18,-17.88218
18,513563.0406999996,6893903.584800001,121,5.0,97,D_19,-14.825227
19,511985.1633000003,6894734.5945000015,122,6.0,86,D_23,-16.325579
20,510861.87120000017,6895615.009500001,123,6.0,88,D_26,-13.579814
21,510307.31759999966,6896632.8457,124,6.0,88,D_29,-14.683251
22,511621.5990000013,6897367.493999999,125,8.0,81,D_28,-17.923906
23,516597.77849999967,6892695.477800001,126,9.0,74,253,-19.724085
24,518190.6286000007,6890617.2826000005,127,20.0,76,254,-19.651623
25,519744.8718999999,6888402.1307,128,9.0,86,D_1,-17.256733
26,519432.0939000006,6889250.453600001,129,21.0,69,D_4,-18.26409
27,518497.3934000006,6888434.846500002,130,4.0,86,D_2,-15.872304
28,517622.11110000033,6889134.918900002,131,4.0,85,D_5,-16.446518
29,517546.4626999992,6890125.362799997,132,5.0,80,D_6,-18.626467
30,516632.0184000004,6890248.518800002,133,5.0,80,D_8,-16.917952
31,516588.0451999995,6891113.697600001,134,5.0,79,D_9,-17.693346
32,517577.84360000025,6891057.542800002,135,19.0,61,D_7,-19.525438
33,515386.7638000001,6891828.3554,136,4.0,81,D_12,-17.647171
# Image values are a mean over a 9x9 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit13_IncAngle38_HHVV/01K0001_20180131T223207_TDX_db.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1801_D_thicknesses_notransect_WGS84.shp
