,long,lat,OBJECTID,Snow_thick,Ice_thick,HH
0,512746.00339999975,6897234.308699999,1.0,10.0,131.0,-18.306337356567383
1,512268.9423000004,6896338.065200001,2.0,8.0,136.0,-17.462947845458984
2,512841.70119999984,6895601.693700001,3.0,5.0,131.0,-17.80926513671875
3,513756.87009999965,6894679.971999999,4.0,7.0,141.0,-16.977663040161133
4,514776.0525,6895900.385000002,5.0,12.0,135.0,-15.409259796142578
5,515286.5153999999,6894816.568500001,6.0,20.0,116.0,-19.671855926513672
6,516556.4506999997,6892709.757500001,7.0,9.0,122.0,-18.950748443603516
7,517584.52759999956,6891085.094700001,8.0,14.0,115.0,-19.495281219482422
8,518242.72709999967,6890525.765500002,9.0,25.0,111.0,-20.09903907775879
9,519394.4763000004,6889226.619499999,10.0,17.0,126.0,-17.955307006835938
10,511556.49079999985,6897421.97,11.0,4.0,130.0,-17.534133911132812
11,510307.2769999998,6896714.171200001,12.0,9.0,140.0,-17.170852661132812
12,510905.56399999995,6895639.436900001,13.0,1.0,142.0,-17.52754020690918
13,511985.9735000001,6894755.653000002,14.0,4.0,140.0,-17.508230209350586
14,513549.56879999954,6893886.819899999,15.0,5.0,142.0,-15.519986152648926
15,514619.5829000001,6893300.2828,16.0,6.0,142.0,-17.309236526489258
16,513856.41599999997,6891355.4991,17.0,11.0,115.0,-17.318435668945312
17,513308.01639999985,6890511.631999999,18.0,2.0,137.0,-17.780914306640625
18,515407.3453000001,6891851.287300003,19.0,3.0,137.0,-16.492069244384766
19,516632.86470000003,6891092.862399999,20.0,2.0,136.0,-17.560338973999023
20,516676.53289999993,6890291.8521,21.0,1.0,140.0,-17.164602279663086
21,516748.4797000007,6890290.425500002,22.0,5.0,140.0,-16.520265579223633
22,517512.04770000075,6890086.526700001,23.0,6.0,141.0,-16.692947387695312
23,517623.11060000054,6889133.252999999,24.0,6.0,143.0,-17.160310745239258
24,518507.5504000002,6888427.883499999,25.0,7.0,142.0,-16.311843872070312
25,514906.67640000023,6892401.942600001,57.0,15.0,,-16.717252731323242
26,515789.8425000002,6893546.6371,63.0,32.0,,-18.69315528869629
0,515186.56080000004,6892861.2881000005,36.0,19.0,138.0,-18.809661865234375
1,515175.4557999996,6892840.293999999,37.0,4.0,143.0,-18.627979278564453
2,515161.47670000064,6892821.292300001,38.0,7.0,139.0,-17.61589813232422
3,515117.94199999975,6892760.158399998,39.0,9.0,142.0,-17.64268684387207
4,515069.0096000006,6892694.210499998,40.0,31.0,120.0,-18.214385986328125
5,515034.2742999996,6892609.9448,41.0,13.0,122.0,-18.33827018737793
6,514992.48069999996,6892530.995499998,42.0,2.0,140.0,-17.539087295532227
7,514693.0288000003,6892017.995599999,43.0,0.0,140.0,-17.692481994628906
8,515413.3185000001,6893144.616900001,48.0,12.0,142.0,-18.042375564575195
9,515445.60429999966,6893180.414200001,49.0,3.0,138.0,-18.428646087646484
10,515484.4793999994,6893221.5895,50.0,8.0,134.0,-18.524826049804688
11,515517.4801000011,6893260.175900003,51.0,18.0,126.0,-18.554353713989258
12,515553.8240000002,6893296.4386,52.0,17.0,138.0,-18.456775665283203
13,515591.8457000006,6893341.399,53.0,20.0,133.0,-18.43608856201172
14,515632.4060000009,6893389.045299999,54.0,21.0,119.0,-18.930217742919922
15,515676.12100000016,6893430.022500001,55.0,20.0,119.0,-18.99812889099121
16,514951.4402000001,6892469.763500002,56.0,3.0,,-17.75806999206543
17,514869.56950000033,6892334.044700001,58.0,1.0,,-17.582042694091797
18,514829.7877999998,6892258.0029,59.0,0.0,,-17.004362106323242
19,514790.50470000046,6892186.642700002,60.0,5.0,,-17.455608367919922
20,514746.6043999995,6892110.361099999,61.0,0.0,,-17.99417495727539
21,515735.3315000002,6893487.2262,62.0,15.0,,-19.554664611816406
22,515838.53660000017,6893602.233800001,64.0,17.0,,-18.761133193969727
23,515891.4600999998,6893666.206599998,65.0,27.0,,-18.448047637939453
24,515954.12179999996,6893740.809700002,66.0,23.0,,-18.686145782470703
25,516021.2448000003,6893818.4432,67.0,25.0,,-19.67477035522461
# Image values are a mean over a 9x9 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit13_IncAngle38_HHVV/01K0001_20180510T223209_TDX_db.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_D_thicknesses_transect_noship_WGS84.shp
# combined with notransect
