,long,lat,OBJECTID,ID_Map,Ice,Snow,VV
0,519332.38716423244,6888685.501508799,1,D_Core_5,63,13.0,-15.402424
1,516277.6373424541,6891447.962216609,2,D_Core_4,65,5.0,-13.244053
2,514948.4007238191,6892850.198331225,3,D_Core_1,69,6.0,-15.090495
3,513742.52205647307,6894879.217328449,4,D_Core_2,59,11.0,-14.239841
5,515829.39798764547,6891107.828334209,6,D_1,65,3.0,-12.562608
6,515769.6700395532,6891576.786960879,7,D_2,64,3.0,-12.767114
7,516142.4380502241,6893021.023806912,8,D_3,61,10.0,-15.654842
8,517230.6176254167,6890886.19454344,9,D_18,65,10.0,-16.248066
9,517934.1542928611,6890816.775112217,10,D_17,55,10.0,-16.962236
10,517927.19061532937,6890144.963722541,11,D_15,61,8.0,-16.901285
11,518219.77878078574,6889764.4086115565,12,D_14,62,9.0,-16.805086
12,518226.34133034945,6888914.867388696,13,D_12,66,4.0,-12.744711
13,519417.88290508866,6888419.955430252,14,D_13,56.5,9.0,-16.328526
14,517007.65531079023,6890014.098824074,15,D_11,60,5.0,-14.064838
15,514610.7450415594,6892117.66781569,16,D_10,60,5.0,-14.787127
16,513937.75346323295,6892935.047891385,17,D_9,65,8.0,-12.508931
17,513916.79726476525,6893968.495838048,18,D_8,65,10.0,-13.265237
18,515007.00380025466,6893969.378006818,19,D_4,58,8.0,-15.151221
19,515004.06302199914,6895032.986238878,20,D_5,64,10.0,-14.724079
20,513990.5856427501,6896020.136507869,21,D_6,60,13.0,-15.050668
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit21_IncAngle40_VVVH/08K0001_20170112T112529_TSX/08K0001_20170112T112529_TSX_db.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1701_D_thicknesses_WGS84.shp
