,long,lat,OBJECTID,ID_Map,Ice,Snow,VV
1,513856.5331952997,6894042.472622206,2,D_8,121.0,6.0,-16.98896
2,513927.34525306226,6892895.962804926,3,D_9,130.0,5.0,-16.680943
3,514552.9127894939,6892153.525395634,4,D_10,128.0,14.0,-17.60036
4,515708.450554359,6891619.508044934,5,D_2,128.0,3.0,-17.587183
5,517164.2247534725,6890956.265053917,6,D_18,128.0,6.0,-17.961882
6,517021.441026973,6890092.377343916,7,D_11,129.0,3.0,-17.730225
7,518181.4276167891,6888975.12000497,8,D_12,130.0,1.0,-18.168556
8,513999.4306711281,6896020.618872343,9,D_6,115.0,39.0,-17.573269
9,515000.8708094718,6895036.759796119,10,D_5,108.0,38.0,-17.52554
10,515030.9835597045,6894026.66997705,11,D_4,115.0,22.0,-18.432545
11,516123.05140192097,6893055.801013718,12,D_3,108.0,21.0,-18.362394
12,515838.39228634845,6891056.958365591,13,D_1,130.0,4.0,-16.744474
13,517897.61462992465,6890787.615849208,14,D_17,43.0,11.0,-18.950325
14,517937.2540658817,6890115.160537499,15,D_15,123.0,7.0,-18.61692
15,518236.7140700801,6889746.897920066,16,D_14,127.0,11.0,-18.288227
16,519345.9730869707,6888462.322794749,17,D_13,113.0,16.0,-17.239265
18,513739.1073983081,6894886.778916758,19,D_Core_2,113.0,38.0,-17.582436
19,514921.5061513049,6892865.564638135,20,D_Core_1,122.0,20.0,-18.607618
20,519298.263883599,6888678.733600439,21,D_Core_5,119.0,15.0,-17.607388
21,516279.8550367975,6891452.763350433,22,D_Core_4,125.0,6.0,-17.760164
22,515494.323388729,6892631.632628359,28,,,7.0,-17.700532913208008
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit21_IncAngle40_VVVH/08K0001_20170502T112532_TSX_db.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1704_D_thicknesses_notransect_WGS84.shp
