,long,lat,OBJECTID,Snow_thick,Ice_thick,VV
0,512746.00339999975,6897234.308699999,1.0,10.0,131.0,
1,512268.9423000004,6896338.065200001,2.0,8.0,136.0,
2,512841.70119999984,6895601.693700001,3.0,5.0,131.0,
3,513756.87009999965,6894679.971999999,4.0,7.0,141.0,-15.545187950134277
4,514776.0525,6895900.385000002,5.0,12.0,135.0,-14.919551849365234
5,515286.5153999999,6894816.568500001,6.0,20.0,116.0,-18.095468521118164
6,516556.4506999997,6892709.757500001,7.0,9.0,122.0,-18.455923080444336
7,517584.52759999956,6891085.094700001,8.0,14.0,115.0,-19.522411346435547
8,518242.72709999967,6890525.765500002,9.0,25.0,111.0,-19.184280395507812
9,519394.4763000004,6889226.619499999,10.0,17.0,126.0,-18.91840934753418
10,511556.49079999985,6897421.97,11.0,4.0,130.0,
11,510307.2769999998,6896714.171200001,12.0,9.0,140.0,
12,510905.56399999995,6895639.436900001,13.0,1.0,142.0,
13,511985.9735000001,6894755.653000002,14.0,4.0,140.0,
14,513549.56879999954,6893886.819899999,15.0,5.0,142.0,-15.244853973388672
15,514619.5829000001,6893300.2828,16.0,6.0,142.0,-15.666375160217285
16,513856.41599999997,6891355.4991,17.0,11.0,115.0,-17.280742645263672
17,513308.01639999985,6890511.631999999,18.0,2.0,137.0,-17.530691146850586
18,515407.3453000001,6891851.287300003,19.0,3.0,137.0,-16.32735824584961
19,516632.86470000003,6891092.862399999,20.0,2.0,136.0,-17.46095848083496
20,516676.53289999993,6890291.8521,21.0,1.0,140.0,-17.173479080200195
21,516748.4797000007,6890290.425500002,22.0,5.0,140.0,-16.74227523803711
22,517512.04770000075,6890086.526700001,23.0,6.0,141.0,-17.074373245239258
23,517623.11060000054,6889133.252999999,24.0,6.0,143.0,-16.84127426147461
24,518507.5504000002,6888427.883499999,25.0,7.0,142.0,-16.556991577148438
25,514906.67640000023,6892401.942600001,57.0,15.0,,-17.082923889160156
26,515789.8425000002,6893546.6371,63.0,32.0,,-18.036333084106445
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit21_IncAngle40_VVVH/08K0001_20180511T112539_TSX/08K0001_20180511T112539_TSX_db.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_D_thicknesses_notransect_WGS84.shp
