,long,lat,OBJECTID,Snow_thick,Ice_thick,VV
0,515186.56080000004,6892861.2881000005,36.0,19.0,138.0,-17.379186630249023
1,515175.4557999996,6892840.293999999,37.0,4.0,143.0,-17.57318878173828
2,515161.47670000064,6892821.292300001,38.0,7.0,139.0,-17.336694717407227
3,515117.94199999975,6892760.158399998,39.0,9.0,142.0,-17.468097686767578
4,515069.0096000006,6892694.210499998,40.0,31.0,120.0,-17.93000030517578
5,515034.2742999996,6892609.9448,41.0,13.0,122.0,-17.39550018310547
6,514992.48069999996,6892530.995499998,42.0,2.0,140.0,-16.79636001586914
7,514693.0288000003,6892017.995599999,43.0,0.0,140.0,-16.63276481628418
8,515413.3185000001,6893144.616900001,48.0,12.0,142.0,-17.431642532348633
9,515445.60429999966,6893180.414200001,49.0,3.0,138.0,-17.894821166992188
10,515484.4793999994,6893221.5895,50.0,8.0,134.0,-18.21954345703125
11,515517.4801000011,6893260.175900003,51.0,18.0,126.0,-18.633424758911133
12,515553.8240000002,6893296.4386,52.0,17.0,138.0,-17.9968204498291
13,515591.8457000006,6893341.399,53.0,20.0,133.0,-17.124216079711914
14,515632.4060000009,6893389.045299999,54.0,21.0,119.0,-18.11536407470703
15,515676.12100000016,6893430.022500001,55.0,20.0,119.0,-18.11371612548828
16,514951.4402000001,6892469.763500002,56.0,3.0,,-16.810361862182617
17,514869.56950000033,6892334.044700001,58.0,1.0,,-16.446924209594727
18,514829.7877999998,6892258.0029,59.0,0.0,,-16.70148468017578
19,514790.50470000046,6892186.642700002,60.0,5.0,,-16.552719116210938
20,514746.6043999995,6892110.361099999,61.0,0.0,,-17.071014404296875
21,515735.3315000002,6893487.2262,62.0,15.0,,-17.98865509033203
22,515838.53660000017,6893602.233800001,64.0,17.0,,-18.370872497558594
23,515891.4600999998,6893666.206599998,65.0,27.0,,-18.000959396362305
24,515954.12179999996,6893740.809700002,66.0,23.0,,-18.33143424987793
25,516021.2448000003,6893818.4432,67.0,25.0,,-18.812732696533203
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit21_IncAngle40_VVVH/08K0001_20180511T112539_TSX/08K0001_20180511T112539_TSX_db.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_D_thicknesses_transect_noship_WGS84.shp
