,long,lat,OBJECTID,ID_1,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,514632.62716436666,6892165.4562283205,1.0,10.0,153.0,0.0,-22.029271125793457,-31.1435866355896,-32.187416553497314,-22.799277305603027,0.9238183498382568,0.353638619184494,0.3396567106246948
1,513983.7388606032,6893000.8049634015,2.0,9.0,155.0,2.0,-24.445271492004395,-32.07348585128784,-32.635338306427,-22.536005973815918,1.2575880289077759,0.4191981554031372,0.313577800989151
2,514008.35971439874,6894045.9977485025,3.0,8.0,109.0,25.0,-16.454962491989136,-26.112091541290283,-27.05014944076538,-16.837726831436157,0.9569123387336731,0.332869291305542,0.3131982684135437
3,512913.7855631754,6895126.492028484,4.0,7.0,131.0,18.0,-15.440175533294678,-27.912602424621582,-27.847743034362793,-15.60742974281311,0.9749760031700134,0.23708581924438477,0.2425539791584015
4,513997.6663933948,6896019.386129912,5.0,6.0,120.0,25.0,-17.071566581726074,-29.518299102783203,-31.332571506500244,-17.736210823059082,0.9251330494880676,0.23811064660549164,0.208701953291893
5,514999.95561376965,6895031.85386001,6.0,5.0,133.0,33.0,-24.395968914031982,-31.493065357208252,-32.64563322067261,-23.530097007751465,1.1362560987472534,0.454447865486145,0.35414236783981323
6,515031.72798080224,6894023.21967075,7.0,4.0,152.0,14.0,-24.79090929031372,-32.833333015441895,-32.132883071899414,-24.555015563964844,1.0292928218841553,0.39698079228401184,0.4201580286026001
7,516126.70807405835,6893053.59037616,8.0,3.0,147.0,8.0,-25.009684562683105,-31.86502456665039,-32.5943398475647,-25.09697914123535,0.9899375438690186,0.4514361023902893,0.42475223541259766
8,515767.0555101724,6891612.201598297,9.0,2.0,138.0,20.0,-23.994417190551758,-32.88769006729126,-31.283793449401855,-24.99080181121826,0.8882293701171875,0.3578770160675049,0.49169790744781494
9,515842.0618951835,6891052.408061365,10.0,1.0,147.0,5.0,-25.87718963623047,-32.61047840118408,-31.861021518707275,-24.925594329833984,1.158305287361145,0.4873925745487213,0.4637511968612671
10,517051.0303935684,6889962.625502263,12.0,11.0,134.0,23.0,-23.58649492263794,-30.145821571350098,-30.80230712890625,-23.696582317352295,0.9816328883171082,0.47131502628326416,0.46204641461372375
11,518236.01014381915,6888872.362792415,13.0,12.0,155.0,0.0,-23.724510669708252,-31.490933895111084,-31.74175262451172,-24.780590534210205,0.8851649761199951,0.40827497839927673,0.4469672441482544
12,519426.7210369333,6888388.701244223,14.0,13.0,140.0,10.0,-18.12673330307007,-30.449039936065674,-29.444124698638916,-16.940923929214478,1.138638973236084,0.26123106479644775,0.2653258442878723
13,518245.8503502447,6889735.02692349,15.0,14.0,165.0,13.0,-24.00181293487549,-31.31310224533081,-32.095232009887695,-24.57738161087036,0.9496982097625732,0.4359090030193329,0.42001721262931824
14,517939.6539186111,6890114.839048622,16.0,15.0,140.0,29.0,-23.677959442138672,-32.95317888259888,-30.64204692840576,-24.130656719207764,0.9457384943962097,0.3444535732269287,0.4817047715187073
15,517890.49720815936,6890793.037058212,17.0,17.0,122.0,40.0,-20.187182426452637,-31.64362668991089,-31.286120414733887,-21.271274089813232,0.8910267949104309,0.27769172191619873,0.32311439514160156
16,514923.5847975387,6892866.687931566,18.0,1.0,130.0,30.0,-21.65975332260132,-34.104461669921875,-32.52851724624634,-23.052518367767334,0.8552078604698181,0.24072283506393433,0.3390583097934723
17,513744.33817983075,6894880.672963875,19.0,2.0,155.0,5.0,-21.25295639038086,-32.00589656829834,-32.42966413497925,-21.143064498901367,1.0408196449279785,0.29744595289230347,0.2721444368362427
18,512803.17850907583,6895795.503532725,20.0,3.0,131.0,22.0,-20.88907241821289,-30.992159843444824,-31.77600622177124,-22.163326740264893,0.8628513813018799,0.3052067458629608,0.33119675517082214
19,516277.5159304528,6891451.526660795,21.0,4.0,165.0,0.0,-19.326448440551758,-30.36705255508423,-28.773958683013916,-20.431461334228516,0.8955963850021362,0.286666601896286,0.385654091835022
20,519298.3860041852,6888675.61500224,22.0,5.0,173.0,6.0,-18.976038694381714,-31.38760805130005,-29.890167713165283,-20.132629871368408,0.877991259098053,0.2403629571199417,0.3266245126724243
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/DeceptionBay/RS2_20160424/RS2_20160424_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1604_D_thicknesses_WGS84.shp
