,long,lat,OBJECTID,ID_Map,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,513000.10316214926,6895110.340297905,1,D_7,119.0,18.0,-21.970279216766357,-31.550049781799316,-31.19222402572632,-21.322898864746094,1.0847246646881104,0.3449456989765167,0.3341321647167206
1,513856.5331952997,6894042.472622206,2,D_8,121.0,6.0,-17.603607177734375,-29.73963499069214,-30.4862380027771,-17.19905138015747,1.0926486253738403,0.2593405842781067,0.21962933242321014
2,513927.34525306226,6892895.962804926,3,D_9,130.0,5.0,-15.839711427688599,-29.249675273895264,-29.396555423736572,-16.07115864753723,0.981881856918335,0.21516652405261993,0.21580952405929565
3,514552.9127894939,6892153.525395634,4,D_10,128.0,14.0,-16.972049474716187,-32.647531032562256,-31.220369338989258,-17.326343059539795,0.9756420850753784,0.16595937311649323,0.20107287168502808
4,515708.450554359,6891619.508044934,5,D_2,128.0,3.0,-16.124767065048218,-31.136305332183838,-31.073389053344727,-16.502350568771362,0.9568497538566589,0.17840734124183655,0.18734091520309448
5,517164.2247534725,6890956.265053917,6,D_18,128.0,6.0,-19.73929762840271,-30.032572746276855,-31.252524852752686,-18.949408531188965,1.094301700592041,0.3058648705482483,0.24212758243083954
6,517021.441026973,6890092.377343916,7,D_11,129.0,3.0,-17.014530897140503,-30.34658432006836,-29.223439693450928,-17.443395853042603,0.9524711966514587,0.21530060470104218,0.2517133057117462
7,518181.4276167891,6888975.12000497,8,D_12,130.0,1.0,-19.388084411621094,-28.522186279296875,-30.932133197784424,-18.11946392059326,1.2591209411621094,0.3935508728027344,0.23637495934963226
8,513999.4306711281,6896020.618872343,9,D_6,115.0,39.0,-20.615684986114502,-31.22964382171631,-31.907124519348145,-20.116710662841797,1.0729398727416992,0.2961547076702118,0.26396992802619934
9,515000.8708094718,6895036.759796119,10,D_5,108.0,38.0,-18.85626792907715,-31.565968990325928,-31.867876052856445,-18.749263286590576,1.0053642988204956,0.23963911831378937,0.2303989976644516
10,515030.9835597045,6894026.66997705,11,D_4,115.0,22.0,-17.585302591323853,-32.16665506362915,-31.25783681869507,-18.97755742073059,0.8417999148368835,0.1871405839920044,0.2544533908367157
11,516123.05140192097,6893055.801013718,12,D_3,108.0,21.0,-17.91189432144165,-31.05980396270752,-31.267828941345215,-18.99264931678772,0.8997433185577393,0.22712785005569458,0.2463449388742447
12,515838.39228634845,6891056.958365591,13,D_1,130.0,4.0,-16.257152557373047,-31.691582202911377,-29.561429023742676,-15.174273252487183,1.1352131366729736,0.16955871880054474,0.1911766231060028
14,517937.2540658817,6890115.160537499,15,D_15,123.0,7.0,-18.909988403320312,-31.035521030426025,-31.29936695098877,-19.115581512451172,1.0230268239974976,0.2512841522693634,0.24647164344787598
15,518236.7140700801,6889746.897920066,16,D_14,127.0,11.0,-20.76277732849121,-31.136670112609863,-29.703588485717773,-20.232727527618408,1.068895936012268,0.3051334619522095,0.3302448093891144
16,519345.9730869707,6888462.322794749,17,D_13,113.0,16.0,-20.203547477722168,-32.146122455596924,-30.560593605041504,-18.614355325698853,1.2147847414016724,0.25582340359687805,0.2515042722225189
17,512796.59980047744,6895801.048869076,18,D_Core_3,108.0,19.0,-19.022852182388306,-29.192135334014893,-28.429603576660156,-17.828325033187866,1.1714855432510376,0.3175934851169586,0.29954004287719727
18,513739.1073983081,6894886.778916758,19,D_Core_2,113.0,38.0,-20.202274322509766,-30.484790802001953,-31.0071063041687,-19.837322235107422,1.0445176362991333,0.31610187888145447,0.29327306151390076
19,514921.5061513049,6892865.564638135,20,D_Core_1,122.0,20.0,-18.121451139450073,-30.594003200531006,-30.991661548614502,-18.41559648513794,0.9645187854766846,0.23806232213974,0.23545557260513306
20,519298.263883599,6888678.733600439,21,D_Core_5,119.0,15.0,-17.61012315750122,-30.108623504638672,-30.537056922912598,-18.499891757965088,0.9113152027130127,0.2388848215341568,0.24998228251934052
21,516279.8550367975,6891452.763350433,22,D_Core_4,125.0,6.0,-16.995927095413208,-31.049022674560547,-32.36435651779175,-16.77542209625244,1.0267866849899292,0.1984998881816864,0.16638146340847015
