,long,lat,OBJECTID,Snow,Ice,ID_Map,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,516015.4127000009,6893807.386300002,3,12.0,,,-22.068424224853516,-30.93404769897461,-30.88160514831543,-19.940805435180664,1.2817822694778442,0.35927048325538635,0.28535446524620056
1,514990.187199999,6892460.911499999,76,19.0,,,-17.656900882720947,-31.46888494491577,-29.80635643005371,-15.607541799545288,1.269172191619873,0.20065854489803314,0.19521501660346985
2,515195.77610000037,6894758.450300001,105,9.0,83,D_14,-21.893062591552734,-30.829801559448242,-31.031997203826904,-22.35861301422119,0.9558278322219849,0.3650752902030945,0.3737823963165283
3,515146.23289999994,6894012.145799997,106,3.0,82,D_13,-19.282803535461426,-30.719594955444336,-30.460374355316162,-18.934285640716553,1.0402379035949707,0.26845109462738037,0.2656869888305664
4,512764.58180000004,6897273.816599999,107,7.0,84,D_27,-18.430588245391846,-31.656522750854492,-31.279916763305664,-17.80976414680481,1.0678914785385132,0.22217291593551636,0.2198655605316162
5,512271.9946,6896300.087099999,108,8.0,85,D_24,-16.37505292892456,-30.91057777404785,-30.41104793548584,-16.119579076766968,1.0417662858963013,0.19114767014980316,0.1958388388156891
6,512789.8273999998,6895624.445999999,109,5.0,90,D_30,-17.08913564682007,-31.2753963470459,-29.84874725341797,-16.517118215560913,1.0696154832839966,0.19679959118366241,0.2169765830039978
7,513460.9341000012,6896183.0825,110,7.0,90,D_25,-16.618034839630127,-28.05455446243286,-27.92691707611084,-16.570199728012085,1.0094834566116333,0.27026551961898804,0.2719014883041382
8,514591.94579999964,6895871.063200001,111,10.0,79,D_22,-15.454320907592773,-26.032423973083496,-27.816991806030273,-14.81605052947998,1.0827380418777466,0.29644453525543213,0.2266743928194046
9,514014.28760000016,6895300.8906,112,4.0,105,D_20,-15.294055938720703,-26.40707492828369,-27.918236255645752,-13.714724779129028,1.2161085605621338,0.2826637327671051,0.195145383477211
10,513758.78120000026,6894721.979499999,113,4.0,90,D_21,-14.4986891746521,-28.710782527923584,-29.16849136352539,-15.00221848487854,0.9454694390296936,0.19575291872024536,0.19766908884048462
11,515195.77610000037,6894758.450300001,114,20.0,71,D_14,-21.893062591552734,-30.829801559448242,-31.031997203826904,-22.35861301422119,0.9558278322219849,0.3650752902030945,0.3737823963165283
12,515146.23289999994,6894012.145799997,115,18.0,70,D_13,-19.282803535461426,-30.719594955444336,-30.460374355316162,-18.934285640716553,1.0402379035949707,0.26845109462738037,0.2656869888305664
13,515664.784,6893314.219700002,116,11.0,75,L_3,-17.185853719711304,-29.467005729675293,-29.98987913131714,-18.088122606277466,0.914962887763977,0.24875181913375854,0.25700509548187256
14,513275.1316999996,6890523.0887,117,7.0,88,D_15,-18.414288759231567,-30.170445442199707,-30.562222003936768,-19.439592361450195,0.8782689571380615,0.25836408138275146,0.27940279245376587
15,513822.74749999936,6891343.552099998,118,9.0,85,D_16,-20.15002727508545,-29.624791145324707,-30.246589183807373,-20.67601203918457,0.9408121109008789,0.33695587515830994,0.3307594358921051
16,514059.6670000003,6892491.999899998,119,4.0,89,D_17,-16.52884602546692,-30.148534774780273,-28.636186122894287,-15.471006631851196,1.1304556131362915,0.20897771418094635,0.22027915716171265
17,514669.59140000044,6893322.3352,120,5.0,92,D_18,-18.046821355819702,-29.57420825958252,-31.931936740875244,-17.800180912017822,1.0260424613952637,0.26490676403045654,0.20007485151290894
18,513563.0406999996,6893903.584800001,121,5.0,97,D_19,-17.892026901245117,-27.746942043304443,-29.484174251556396,-17.437515258789062,1.0445867776870728,0.32518476247787476,0.26110920310020447
19,511985.1633000003,6894734.5945000015,122,6.0,86,D_23,-16.736232042312622,-29.689772129058838,-28.50296974182129,-15.733698606491089,1.1291041374206543,0.2280910760164261,0.23312966525554657
20,510861.87120000017,6895615.009500001,123,6.0,88,D_26,-14.632503986358643,-28.74913454055786,-28.9797306060791,-13.312585353851318,1.1682077646255493,0.1970231533050537,0.16460847854614258
22,511621.5990000013,6897367.493999999,125,8.0,81,D_28,-16.812927722930908,-30.972483158111572,-31.1248779296875,-17.654000520706177,0.9092652797698975,0.1987289935350418,0.21646171808242798
23,516597.77849999967,6892695.477800001,126,9.0,74,253,-20.83160161972046,-30.179250240325928,-30.6854510307312,-20.748913288116455,1.0115101337432861,0.3418879806995392,0.3194626569747925
24,518190.6286000007,6890617.2826000005,127,20.0,76,254,-22.263598442077637,-30.84611415863037,-30.75460433959961,-21.922807693481445,1.0788683891296387,0.3857007920742035,0.3620951473712921
25,519744.8718999999,6888402.1307,128,9.0,86,D_1,-16.960049867630005,-27.913243770599365,-28.599367141723633,-16.996957063674927,0.9920163750648499,0.2838403284549713,0.26568928360939026
26,519432.0939000006,6889250.453600001,129,21.0,69,D_4,-18.014676570892334,-30.994572639465332,-29.164845943450928,-17.625993490219116,1.060529351234436,0.22992798686027527,0.26641222834587097
27,518497.3934000006,6888434.846500002,130,4.0,86,D_2,-16.04936122894287,-29.440109729766846,-28.924667835235596,-16.95369243621826,0.907475471496582,0.21656380593776703,0.25267624855041504
28,517622.11110000033,6889134.918900002,131,4.0,85,D_5,-14.48000431060791,-28.93254041671753,-29.39746856689453,-15.323361158370972,0.908686101436615,0.1892222762107849,0.1978912353515625
29,517546.4626999992,6890125.362799997,132,5.0,80,D_6,-15.77094554901123,-28.70553970336914,-30.53628444671631,-16.65627360343933,0.9050249457359314,0.22327269613742828,0.20193186402320862
30,516632.0184000004,6890248.518800002,133,5.0,80,D_8,-17.95813798904419,-29.84671115875244,-28.680481910705566,-17.289962768554688,1.0855748653411865,0.258338987827301,0.2732968330383301
31,516588.0451999995,6891113.697600001,134,5.0,79,D_9,-17.388046979904175,-29.956281185150146,-30.313875675201416,-16.21394634246826,1.1289602518081665,0.2509133517742157,0.21920204162597656
32,517577.84360000025,6891057.542800002,135,19.0,61,D_7,-21.934430599212646,-30.250258445739746,-29.424138069152832,-20.20998239517212,1.2320435047149658,0.3751561641693115,0.348797470331192
33,515386.7638000001,6891828.3554,136,4.0,81,D_12,-16.198465824127197,-28.061974048614502,-31.36058807373047,-16.92188858985901,0.9540282487869263,0.2608582079410553,0.18890680372714996
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/DeceptionBay/RS2_20180201/RS2_20180201_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1801_D_thicknesses_notransect_WGS84.shp
