,long,lat,OBJECTID,Snow,Ice,ID_Map,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,516036.4577000006,6893827.984900002,1,18.0,,,-23.106229305267334,-32.31970548629761,-31.168818473815918,-21.46866798400879,1.207270622253418,0.34743696451187134,0.3281869888305664
1,516047.2786999987,6893841.1822,2,16.0,,,-23.485195636749268,-32.23214149475098,-30.75376033782959,-21.6937518119812,1.2470804452896118,0.37968891859054565,0.36441004276275635
2,515999.19519999984,6893790.041499998,4,17.0,,,-20.7072114944458,-32.139790058135986,-30.950467586517334,-20.55410861968994,1.0211243629455566,0.26464197039604187,0.30253419280052185
3,515987.86530000024,6893774.2797,5,8.0,,,-21.01219892501831,-32.895991802215576,-32.15337038040161,-21.836953163146973,0.9104641675949097,0.25422346591949463,0.30419614911079407
4,515974.1928000002,6893758.2839,6,15.0,,,-22.64669895172119,-32.712674140930176,-31.49857997894287,-22.91843891143799,0.9911105036735535,0.32571178674697876,0.3690653145313263
5,515964.62999999966,6893743.198899999,7,17.0,,,-21.617343425750732,-31.336495876312256,-32.50812768936157,-22.155351638793945,0.9958168864250183,0.354521244764328,0.30918461084365845
6,515954.1339999995,6893727.218299999,8,14.0,,,-20.004308223724365,-30.865352153778076,-31.9329571723938,-20.266530513763428,0.9801638126373291,0.29086434841156006,0.26131880283355713
7,515938.08670000016,6893706.7553,9,9.0,,,-22.04380512237549,-31.557719707489014,-30.84818124771118,-20.99277973175049,1.1291636228561401,0.33128494024276733,0.31927719712257385
8,515926.08810000005,6893689.096500002,10,10.0,,,-21.485493183135986,-31.197311878204346,-30.967237949371338,-21.200482845306396,1.0394476652145386,0.3254775106906891,0.3249679207801819
9,515914.182,6893673.889199998,11,15.0,,,-21.49127721786499,-30.93257188796997,-30.218627452850342,-21.18607759475708,1.0491641759872437,0.34281429648399353,0.35479652881622314
10,515900.10420000023,6893655.329500001,12,10.0,,,-21.139039993286133,-31.933894157409668,-30.67087173461914,-21.290109157562256,1.0065693855285645,0.296902596950531,0.3411446213722229
