,long,lat,OBJECTID,Snow_thick,Ice_thick,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,512746.00339999975,6897234.308699999,1.0,10.0,131.0,-17.54903793334961,-31.741726398468018,-32.26126670837402,-19.346057176589966,0.8019796013832092,0.19669674336910248,0.23267599940299988
1,512268.9423000004,6896338.065200001,2.0,8.0,136.0,-19.920352697372437,-32.425808906555176,-31.91993236541748,-19.584083557128906,1.0515230894088745,0.2401280403137207,0.24310117959976196
2,512841.70119999984,6895601.693700001,3.0,5.0,131.0,-18.75770092010498,-29.60144281387329,-31.27971887588501,-17.76355266571045,1.1349362134933472,0.30343618988990784,0.2197597175836563
3,513756.87009999965,6894679.971999999,4.0,7.0,141.0,-17.873668670654297,-27.26290225982666,-27.82926082611084,-16.477354764938354,1.1760579347610474,0.3430803418159485,0.2684321403503418
4,514776.0525,6895900.385000002,5.0,12.0,135.0,-14.58747386932373,-25.7014799118042,-26.959969997406006,-13.422424793243408,1.14467453956604,0.2782888412475586,0.21016308665275574
5,515286.5153999999,6894816.568500001,6.0,20.0,116.0,-21.70217514038086,-31.69600248336792,-32.44009971618652,-22.488760948181152,0.9023199081420898,0.3256143033504486,0.3300839066505432
6,516556.4506999997,6892709.757500001,7.0,9.0,122.0,-18.40193748474121,-31.393816471099854,-30.721333026885986,-20.975701808929443,0.7422444224357605,0.2221848964691162,0.3260039985179901
7,517584.52759999956,6891085.094700001,8.0,14.0,115.0,-22.122280597686768,-32.057881355285645,-31.661314964294434,-20.376951694488525,1.2235963344573975,0.3211137354373932,0.2742040753364563
8,518242.72709999967,6890525.765500002,9.0,25.0,111.0,-21.81553840637207,-31.272997856140137,-31.88446044921875,-20.42180061340332,1.177624225616455,0.33868226408958435,0.2684641182422638
9,519394.4763000004,6889226.619499999,10.0,17.0,126.0,-19.792338609695435,-30.262553691864014,-29.48573350906372,-20.213286876678467,0.9592118859291077,0.30677932500839233,0.3486815094947815
10,511556.49079999985,6897421.97,11.0,4.0,130.0,-20.973961353302002,-31.527819633483887,-31.250722408294678,-20.762102603912354,1.0244094133377075,0.303824782371521,0.31052592396736145
12,510905.56399999995,6895639.436900001,13.0,1.0,142.0,-20.092108249664307,-30.01659393310547,-31.553902626037598,-18.91001582145691,1.1309466361999512,0.32193052768707275,0.24349206686019897
13,511985.9735000001,6894755.653000002,14.0,4.0,140.0,-19.330711364746094,-32.5159478187561,-28.89432191848755,-17.764540910720825,1.2089852094650269,0.22061020135879517,0.27722811698913574
14,513549.56879999954,6893886.819899999,15.0,5.0,142.0,-15.587520599365234,-27.851591110229492,-29.104254245758057,-15.948052406311035,0.9551981687545776,0.2448168396949768,0.22209081053733826
15,514619.5829000001,6893300.2828,16.0,6.0,142.0,-19.222984313964844,-30.798959732055664,-31.391170024871826,-18.6490535736084,1.0778262615203857,0.26345765590667725,0.23054392635822296
16,513856.41599999997,6891355.4991,17.0,11.0,115.0,-19.244009256362915,-32.01956272125244,-30.832715034484863,-18.280799388885498,1.116733193397522,0.23638609051704407,0.2443808764219284
17,513308.01639999985,6890511.631999999,18.0,2.0,137.0,-19.790940284729004,-30.25470495223999,-29.985525608062744,-19.913110733032227,1.0011463165283203,0.31687119603157043,0.32398027181625366
18,515407.3453000001,6891851.287300003,19.0,3.0,137.0,-18.33387017250061,-30.926902294158936,-30.616507530212402,-19.9412202835083,0.8314651846885681,0.23534716665744781,0.29329293966293335
19,516632.86470000003,6891092.862399999,20.0,2.0,136.0,-18.454049825668335,-31.39317274093628,-29.429986476898193,-17.759675979614258,1.076673984527588,0.22559529542922974,0.2644582986831665
20,516676.53289999993,6890291.8521,21.0,1.0,140.0,-17.7230441570282,-29.5259952545166,-29.97612953186035,-18.492326736450195,0.9076207280158997,0.25831568241119385,0.2750996947288513
21,516748.4797000007,6890290.425500002,22.0,5.0,140.0,-19.098353385925293,-29.388606548309326,-30.66797971725464,-19.65376377105713,0.9427445530891418,0.3067200481891632,0.28401923179626465
22,517512.04770000075,6890086.526700001,23.0,6.0,141.0,-18.696565628051758,-29.319705963134766,-29.657211303710938,-18.073787689208984,1.0770330429077148,0.3071119785308838,0.27546826004981995
23,517623.11060000054,6889133.252999999,24.0,6.0,143.0,-17.858729362487793,-29.17001724243164,-28.53095054626465,-17.168433666229248,1.077042579650879,0.27170291543006897,0.2754698097705841
24,518507.5504000002,6888427.883499999,25.0,7.0,142.0,-18.876261711120605,-30.28714418411255,-31.155128479003906,-18.291114568710327,1.1145853996276855,0.283414363861084,0.22542071342468262
25,514906.67640000023,6892401.942600001,57.0,15.0,,-18.627713918685913,-29.97554302215576,-30.252182483673096,-19.05142307281494,0.9606783390045166,0.2729252576828003,0.27609479427337646
26,515789.8425000002,6893546.6371,63.0,32.0,,-20.480313301086426,-31.301403045654297,-31.00203275680542,-19.719160795211792,1.0921578407287598,0.2881188988685608,0.27497708797454834
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/DeceptionBay/RS2_20180508/RS2_20180508_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_D_thicknesses_notransect_WGS84.shp
