 ,X,Y
1,161.250,153.500
2,158.750,151.000
3,157.250,148.750
4,153.000,145.250
5,150.000,141.750
6,145.250,139.500
7,142.750,136.750
8,139.250,134.000
9,136.000,130.750
10,133.250,127.750
11,130.250,123.500
12,127.750,120.000
13,123.500,115.250
14,119.750,110.500
15,114.750,104.250
16,110.500,99.750
17,107.500,96.750
18,104.500,95.000
19,101.000,92.000
20,98.250,88.500
21,95.000,84.250
22,93.000,81.750
23,89.500,77.750
24,85.250,75.000
25,81.750,70.750
26,79.250,66.750
27,77.500,64.000
28,75.500,60.000
29,77.000,56.500
30,79.500,52.500
31,81.250,47.750
32,83.250,40.500
33,83.250,37.000
34,84.250,30.500
35,84.250,22.750
36,83.750,16.000
37,83.750,6.500
38,83.750,2.000
