,long,lat,_ID_Ma,_IceTh,_SnowT,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,659775.8018000432,6833290.8489778275,K_Core_5,45,8,-17.80388593673706,-28.532826900482178,-29.863219261169434,-18.171749114990234,0.9685765504837036,0.2945385277271271,0.2592155337333679
1,658362.4931672493,6834648.972309582,K_Core_4,58,16,-13.640156984329224,-29.547874927520752,-28.3807373046875,-12.548545598983765,1.1080039739608765,0.18233703076839447,0.1937079131603241
2,656912.7623594967,6832667.654858809,K_Core_3,52,12,-19.193663597106934,-30.148329734802246,-29.35248374938965,-17.75585651397705,1.2013309001922607,0.2878977060317993,0.2630959153175354
3,660007.4579396131,6836973.480895688,K_Core_2,74,21,-11.420825719833374,-24.539079666137695,-24.30509090423584,-12.205338478088379,0.8925883769989014,0.23149360716342926,0.2711910009384155
4,661289.453002618,6838015.329753108,K_Core_1,73,3,-14.259909391403198,-27.224278450012207,-26.977012157440186,-15.366896390914917,0.8773488998413086,0.22986166179180145,0.269787460565567
5,661017.2473950064,6835006.6551543195,K_5,77,11,-15.320912599563599,-25.27242422103882,-25.022401809692383,-13.748387098312378,1.2115291357040405,0.3283202052116394,0.2758941352367401
6,661011.4080283999,6837018.439142434,K_6,74,13,-12.657281160354614,-24.59925889968872,-25.285308361053467,-13.153403997421265,0.965374231338501,0.259015291929245,0.2473798543214798
7,660037.5878848744,6835007.81421169,K_7,77,12,-14.413343667984009,-27.02831268310547,-25.78603744506836,-15.29628872871399,0.9026631116867065,0.23431290686130524,0.30001842975616455
8,660009.3751143342,6838021.69396223,K_8,70,8,-12.178181409835815,-25.875608921051025,-24.4938325881958,-11.256673336029053,1.1169999837875366,0.2090051919221878,0.22416342794895172
9,659009.9838395086,6836991.915733043,K_9,60,8,-12.85686731338501,-24.17031764984131,-24.511191844940186,-12.486213445663452,1.0467199087142944,0.2770545184612274,0.2573685944080353
10,658995.1181117382,6836008.828148362,K_10,70,12,-14.48880672454834,-24.197957515716553,-23.73755931854248,-12.585946321487427,1.2323181629180908,0.33352118730545044,0.28640279173851013
11,660017.0147615105,6835997.640482187,K_11,71,12,-11.05939269065857,-26.538338661193848,-26.080598831176758,-11.737686395645142,0.9244376420974731,0.16868740320205688,0.19265972077846527
12,659996.7526381211,6834013.686452272,K_12,58,7,-20.86818218231201,-29.867122173309326,-30.198419094085693,-20.87212085723877,0.9978858232498169,0.36055806279182434,0.35574185848236084
13,658974.1279834387,6834010.714966813,K_13,70,14,-18.934645652770996,-26.792309284210205,-27.8798770904541,-19.605131149291992,0.9298970699310303,0.40282368659973145,0.38526788353919983
14,658995.0945642248,6834997.871088594,K_18__,64,9,-15.263690948486328,-26.58217191696167,-26.51679515838623,-15.592490434646606,0.9635100960731506,0.2709805965423584,0.2871692180633545
15,657684.5509852441,6832232.207567633,K_2,54,7,-16.256386041641235,-30.958385467529297,-31.05994701385498,-18.297370672225952,0.796405017375946,0.1851300448179245,0.2308083176612854
16,655985.5162936398,6832992.167704271,K_3,54,6,-15.929381847381592,-29.09844160079956,-28.64103078842163,-15.732277631759644,1.0223259925842285,0.2194342166185379,0.22821998596191406
17,657279.230392674,6833489.896729719,K_4,50,10,-15.002793073654175,-30.078670978546143,-28.649964332580566,-16.2754487991333,0.8637130260467529,0.17650113999843597,0.2420850545167923
18,657040.2308844924,6834199.140401586,K_14,60,6,-11.777222156524658,-27.159478664398193,-26.375839710235596,-11.780940294265747,0.9991824626922607,0.17006054520606995,0.18636208772659302
19,657102.3094854937,6835002.06953205,K_15,60,8,-10.65558671951294,-28.151047229766846,-27.30133056640625,-11.253639459609985,0.9516894221305847,0.1360933482646942,0.15828457474708557
20,657141.3934544418,6835932.23094252,K_16,59,8,-12.980157136917114,-28.77427339553833,-28.442201614379883,-14.211947917938232,0.852952241897583,0.16326741874217987,0.20249444246292114
21,658115.7409256292,6835094.882305268,K_17,93,15,-13.944571018218994,-25.797159671783447,-26.612389087677002,-14.294952154159546,0.9597432613372803,0.25770795345306396,0.24450789391994476
22,658008.7560684966,6834002.02480611,K_18,53,7,-19.798613786697388,-30.183074474334717,-29.198317527770996,-19.54617977142334,1.030168056488037,0.30243489146232605,0.3293258249759674
23,658008.4944816837,6836002.631672813,K_19,63,9,-13.666794300079346,-25.236642360687256,-25.297741889953613,-13.649731874465942,1.0087075233459473,0.26605141162872314,0.2622744143009186
24,661207.8656433533,6836022.243492487,K_20,78,5,-15.323015451431274,-25.071353912353516,-24.55843687057495,-14.13572072982788,1.147817850112915,0.32480481266975403,0.3012525141239166
25,660755.1640421872,6833522.60873984,K_1,54,15,-16.513973474502563,-29.81950044631958,-31.413586139678955,-16.95270299911499,1.0043188333511353,0.2288028448820114,0.18970339000225067
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Kangiqsujuaq/RS2_20170110/RS2_20170110_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1701_K_thicknesses_WGS84.shp
