,long,lat,OBJECTID_1,ID_Map,Snow,Ice,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,652109.3851286429,6832639.990606482,1,K_1,4.0,71.0,-19.88851308822632,-30.547220706939697,-29.960336685180664,-19.310543537139893,1.0761542320251465,0.2950265109539032,0.2933632731437683
1,653599.0310036511,6832300.832422751,2,K_2,5.0,68.0,-20.372438430786133,-31.180613040924072,-30.72972059249878,-22.228119373321533,0.8124468922615051,0.29197776317596436,0.37827712297439575
2,655289.2958057654,6832316.305248093,3,K_3,9.0,64.0,-21.362485885620117,-31.271357536315918,-31.374928951263428,-22.193398475646973,0.9237527847290039,0.3261311650276184,0.3572940528392792
3,657071.5047811214,6832127.641070447,4,K_4,7.0,68.0,-17.913764715194702,-30.746285915374756,-31.788794994354248,-18.61804962158203,0.9240036010742188,0.22843080759048462,0.2195032238960266
4,656593.2109261975,6833496.186440047,5,K_5,11.0,66.0,-21.233272552490234,-30.205612182617188,-30.049984455108643,-22.00417995452881,0.9224402904510498,0.3601573705673218,0.39721933007240295
5,658005.2291650492,6833287.245202777,6,K_6,13.0,59.0,-20.094499588012695,-30.06991147994995,-29.546892642974854,-18.78593683242798,1.1601049900054932,0.3196609616279602,0.29510223865509033
6,656945.147875905,6834753.870779942,7,K_7,7.0,69.0,-21.06473684310913,-31.700332164764404,-29.85395908355713,-21.180522441864014,0.9861500263214111,0.29697534441947937,0.3752155005931854
7,658199.3282281555,6835070.604755106,8,K_8,9.0,68.0,-21.755669116973877,-31.216845512390137,-32.07315921783447,-20.24491310119629,1.192525863647461,0.33697208762168884,0.25143083930015564
8,658414.9325397064,6836308.960429978,9,K_9,7.0,65.0,-14.396644830703735,-30.1241397857666,-30.14967679977417,-15.804828405380249,0.8513005375862122,0.16377493739128113,0.19280380010604858
9,659491.3961503301,6836798.307141807,10,K_17,7.0,82.0,-19.63079333305359,-31.17128849029541,-30.57889699935913,-19.678256511688232,0.994780421257019,0.2635842561721802,0.285482257604599
10,660114.8158461477,6837541.905361656,11,K_18,7.0,71.0,-15.053454637527466,-29.316980838775635,-28.717124462127686,-15.261521339416504,1.0008761882781982,0.2032025009393692,0.21857118606567383
