,long,lat,OBJECTID_1,ID_1,Snow,Ice,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,652109.3851286429,6832639.990606482,1.0,1.0,0.0,105.0,-18.392561674118042,-28.231940269470215,-28.469467163085938,-17.788474559783936,1.075793981552124,0.3220095634460449,0.29150843620300293
1,657071.5047811214,6832127.641070447,2.0,4.0,25.0,99.0,-17.300736904144287,-25.800812244415283,-26.25380516052246,-17.756131887435913,0.970102071762085,0.39401775598526,0.38589105010032654
2,656593.2109261975,6833496.186440047,3.0,5.0,11.0,92.0,-17.71350383758545,-29.061031341552734,-26.894493103027344,-18.005539178848267,0.9969291687011719,0.28024473786354065,0.3610025644302368
3,656945.147875905,6834753.870779942,4.0,7.0,7.0,102.0,-17.697840929031372,-28.345954418182373,-27.30980634689331,-16.359034776687622,1.1721596717834473,0.302805095911026,0.28832489252090454
4,658199.3282281555,6835070.604755106,5.0,8.0,26.0,99.0,-16.671783924102783,-28.728573322296143,-28.886351585388184,-17.87933349609375,0.8791674971580505,0.25423213839530945,0.2816537916660309
5,658414.9325397064,6836308.960429978,6.0,9.0,11.0,93.0,-15.090556144714355,-27.261991500854492,-29.32894229888916,-14.969019889831543,1.0158640146255493,0.2457435131072998,0.19018246233463287
6,659491.3961503301,6836798.307141807,7.0,17.0,15.0,107.0,-16.84625267982483,-28.19669246673584,-27.49145746231079,-16.960421800613403,0.9875056147575378,0.27104803919792175,0.30055513978004456
7,660114.8158461477,6837541.905361656,8.0,18.0,22.0,104.0,-14.368780851364136,-27.706873416900635,-28.12678813934326,-14.599990844726562,0.9814079999923706,0.21831806004047394,0.21234165132045746
8,661369.4778744222,6837137.921435035,9.0,19.0,24.0,90.0,-17.81885862350464,-28.949856758117676,-29.100449085235596,-17.481242418289185,1.0494723320007324,0.27583861351013184,0.2621622085571289
9,659288.008241898,6835550.717821336,10.0,15.0,30.0,95.0,-18.98054838180542,-28.688080310821533,-30.158696174621582,-17.957483530044556,1.123589277267456,0.32663631439208984,0.24623458087444305
10,658596.3716030966,6834203.600422326,11.0,14.0,25.0,102.0,-16.650508642196655,-27.605233192443848,-27.930099964141846,-19.00776505470276,0.7735755443572998,0.28980985283851624,0.3649253845214844
11,659319.2919589854,6833474.023500107,12.0,10.0,27.0,104.0,-15.518306493759155,-27.71289348602295,-27.476489543914795,-16.292253732681274,0.9245158433914185,0.243851900100708,0.2798200845718384
12,660368.6032447927,6834427.058950951,13.0,13.0,37.0,100.0,-19.44058895111084,-28.16373109817505,-30.408337116241455,-20.21125555038452,0.9186330437660217,0.3760443329811096,0.3161482512950897
13,661049.3509607257,6834863.917696279,14.0,12.0,51.0,96.0,-16.76064372062683,-27.391738891601562,-30.765767097473145,-16.154242753982544,1.079026222229004,0.29470589756965637,0.18612805008888245
14,660803.961825695,6833485.528791518,15.0,11.0,37.0,109.0,-16.405234336853027,-30.004961490631104,-27.972142696380615,-17.908599376678467,0.841907262802124,0.20782452821731567,0.31109535694122314
15,659501.3911845486,6842929.759442864,17.0,30.0,3.0,103.0,-17.035281658172607,-28.711366653442383,-27.502641677856445,-16.92799687385559,1.0701947212219238,0.2747822105884552,0.2942703366279602
16,661368.212964727,6843046.3934689285,18.0,29.0,24.0,100.0,-17.02054500579834,-30.004079341888428,-28.66039514541626,-17.197859287261963,0.976887047290802,0.22445553541183472,0.2675172686576843
17,660384.9061872311,6842050.426604025,19.0,27.0,22.0,105.0,-18.387210369110107,-27.77672290802002,-26.693639755249023,-18.694366216659546,0.9999445676803589,0.35192203521728516,0.397491455078125
18,661594.2211101577,6841163.705939616,20.0,26.0,27.0,103.0,-15.354748964309692,-28.727073669433594,-28.946523666381836,-16.90102458000183,0.8397165536880493,0.21581101417541504,0.250573068857193
19,660238.6838276268,6840250.760922391,21.0,23.0,5.0,105.0,-15.672545433044434,-27.1799373626709,-28.473100662231445,-15.191543102264404,1.0604958534240723,0.26529231667518616,0.21570278704166412
20,660843.1761225812,6838474.367494,23.0,21.0,30.0,99.0,-17.986361980438232,-27.353920936584473,-28.540832996368408,-16.372714042663574,1.2158970832824707,0.3417816162109375,0.24747228622436523
21,659662.6689537854,6838904.145114381,24.0,20.0,13.0,111.0,-15.4728364944458,-28.155853748321533,-26.26201868057251,-16.36297583580017,0.8891770243644714,0.23221580684185028,0.32473060488700867
22,662245.4377326539,6839213.569414819,25.0,22.0,24.0,125.0,-15.473601818084717,-28.72370481491089,-29.008820056915283,-16.224923133850098,0.8803050518035889,0.2170090675354004,0.2587048411369324
23,653599.0310036511,6832300.832422751,26.0,2.0,16.0,101.0,-16.675589084625244,-29.732277393341064,-27.270832061767578,-17.340677976608276,0.9503718614578247,0.2282555103302002,0.3187921345233917
24,655289.2958057654,6832316.305248093,27.0,3.0,18.0,90.0,-16.95238947868347,-27.09860324859619,-26.98878765106201,-17.89911150932312,0.8957173824310303,0.3144862651824951,0.3559333384037018
25,658005.2291650492,6833287.245202777,28.0,6.0,23.0,80.0,-14.246015548706055,-25.280790328979492,-25.823206901550293,-15.610146522521973,0.8750677108764648,0.2874058187007904,0.310808926820755
26,660575.2083259482,6836033.067293327,29.0,16.0,33.0,98.0,-18.579416275024414,-27.523674964904785,-30.175976753234863,-17.512189149856567,1.1215929985046387,0.3594689667224884,0.24074509739875793
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Kangiqsujuaq/RS2_20180529/RS2_20180529_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_K_thicknesses_WGS84_no_33-34.shp
