 ,X,Y
1,44.500,245.000
2,51.000,241.500
3,58.000,236.000
4,65.500,232.000
5,73.500,227.500
6,79.000,223.500
7,86.500,219.000
8,92.500,216.500
9,96.000,215.500
10,99.500,216.000
11,102.500,218.000
12,107.000,221.500
13,112.000,226.500
14,117.500,231.000
15,126.000,237.500
16,129.500,239.500
17,133.500,240.500
18,139.500,240.500
19,146.500,240.500
20,157.000,239.500
21,168.000,238.000
22,176.000,236.500
23,183.000,235.000
24,187.000,233.500
25,190.000,231.000
26,192.500,228.000
27,196.000,221.000
28,197.500,212.000
29,199.000,207.500
30,202.500,203.500
31,209.500,197.500
32,216.000,192.000
33,222.000,185.000
34,226.000,180.000
35,228.500,175.000
36,230.000,169.000
37,234.000,154.000
38,237.500,139.500
39,241.000,123.500
40,242.000,117.000
41,241.000,113.500
42,238.500,109.500
43,234.500,104.000
44,226.000,94.500
45,220.500,83.000
46,219.000,78.500
47,218.500,71.500
48,219.000,64.500
49,221.500,59.500
50,229.500,47.500
51,240.000,32.000
52,252.000,16.000
