,long,lat,OBJECTID,ID_Map,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,466206.3543999995,6897912.4454,1,1,86,,-16.55664324760437,-29.475462436676025,-29.8995041847229,-17.868083715438843,0.845754861831665,0.22749975323677063,0.26037153601646423
1,464389.7440000002,6897592.2437,2,2,79,20,-16.70455574989319,-29.757182598114014,-30.884175300598145,-17.20362424850464,0.9481233954429626,0.22342103719711304,0.20687821507453918
2,463151.89169999957,6896582.006099998,3,3,65,18,-18.238680362701416,-30.0040602684021,-30.75871706008911,-17.186614274978638,1.1323591470718384,0.25851303339004517,0.21030688285827637
3,462313.9990999994,6895850.040199998,4,4,83,15,-18.44895362854004,-32.02667474746704,-31.795940399169922,-20.29738426208496,0.8104293346405029,0.21184229850769043,0.26888203620910645
4,460468.7150999994,6896149.263,5,5,82,14,-15.99648118019104,-29.856319427490234,-29.569079875946045,-15.483231544494629,1.0628315210342407,0.20334482192993164,0.19726845622062683
5,461605.2555000004,6897090.604800001,7,7,82,10,-18.418225049972534,-29.127941131591797,-29.774396419525146,-18.880763053894043,0.9534135460853577,0.2929743528366089,0.2850104570388794
6,462388.9293000002,6898034.460900001,8,8,85,10,-16.20233416557312,-29.1437029838562,-30.368752479553223,-17.11268424987793,0.89372718334198,0.22557486593723297,0.2229246348142624
7,464521.4286000001,6899696.5493,9,9,75,20,-18.51309061050415,-31.736750602722168,-30.57093381881714,-19.90490198135376,0.8516042232513428,0.22114677727222443,0.29516828060150146
8,465149.4566000004,6899087.582600001,10,10,80,20,-19.095572233200073,-31.878483295440674,-31.5816068649292,-20.058481693267822,0.8947658538818359,0.22997252643108368,0.2658442258834839
9,467999.1073000009,6900225.878600001,11,A,83,10,-14.990971088409424,-29.069273471832275,-28.36592674255371,-14.653743505477905,1.0313905477523804,0.20026332139968872,0.21334165334701538
10,470335.2790000004,6901512.5455,12,B,69,15,-18.847908973693848,-29.565246105194092,-31.935179233551025,-19.005613327026367,0.9976681470870972,0.29470741748809814,0.2259916216135025
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Salluit/RS2_20160112/RS2_20160112_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1601_S_thicknesses_nopolynia_WGS84.shp
