 ,X,Y
1,32.000,150.500
2,34.500,146.750
3,38.000,143.000
4,41.250,140.250
5,43.500,138.750
6,45.250,134.500
7,47.750,131.250
8,50.500,129.250
9,52.500,128.000
10,56.750,126.750
11,60.750,126.500
12,64.500,126.500
13,69.250,126.500
14,73.000,125.250
15,76.500,122.250
16,79.750,119.750
17,83.250,117.500
18,86.250,114.500
19,89.750,112.250
20,93.500,110.750
21,96.500,107.750
22,98.500,106.750
23,99.250,103.000
24,101.750,100.750
25,104.750,97.250
26,107.750,94.500
27,110.750,92.250
28,114.750,90.000
29,119.250,90.000
30,124.750,87.250
31,129.250,84.750
32,133.500,83.500
33,137.250,81.000
34,141.000,77.750
35,144.000,74.000
36,145.750,71.250
37,148.500,68.000
38,152.000,62.250
39,155.000,58.500
40,157.750,55.000
41,157.750,48.500
42,157.750,41.750
43,157.250,25.750
